"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-1 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","47.5","1.5","","11.9","","","","10.3","9.9","13.2","0.2","","1.4","0.9","0.2","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","227","1129","","","65","176","16","115","18.9","","","","","84.7","244","23.3","130","8","0.6","","","","","0.14","0.08","3.79","","","","14.3","196","15.6","34.3","4.37","18.6","4.75","1.55","5.47","0.9","4.99","0.95","2.68","0.34","2.28","0.31","3.64","0.63","1","","","","","","","","4.36","","3.44","0.65","0.51292","","","0.706864","","","","","","","","","","","","","","","","","","","","","1260869",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-2 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","49.2","1.5","","12","","","","9","9.9","11.4","0.2","","0.8","1.9","0.2","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","215","900","","","58","152","32","82","17.8","","","","","34.3","368","23.6","143","6.5","0.55","","","","","0.11","0.07","2.41","","","","6.75","108","15.6","35.6","4.52","19.4","4.82","1.44","4.78","0.8","4.4","0.83","2.31","0.3","1.96","0.27","3.62","0.5","0.34","","","","","","","","4.83","","3.52","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1260870",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-3 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","49.6","1.5","","12.6","","","","9.5","9.7","11","0.2","","1.1","1.5","0.2","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","240","877","","","52","137","56","87","19","","","","","55.5","342","23.4","136","6.6","0.59","","","","","0.12","0.06","2.49","","","","9.87","175","14.6","33.3","4.22","18.1","4.43","1.4","4.67","0.75","4.21","0.81","2.3","0.29","1.92","0.27","3.46","0.5","1.12","","","","","","","","5.09","","3.41","0.62","0.51245","","","0.707758","","","","","","","","","","","","","","","","","","","","","1260871",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-4 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","49.4","1.5","","11.9","","","","9.7","9.9","11.8","0.2","","1","1.6","0.2","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","214","923","","","52","132","19","80","16.9","","","","","47.1","302","22.5","133","6.2","0.6","","","","","0.13","0.06","1.99","","","","8.87","166","14.9","33.5","4.26","18.3","4.42","1.37","4.77","0.75","4.23","0.79","2.24","0.3","1.86","0.27","3.55","0.46","0.94","","","","","","","","5.63","","3.43","0.64","0.51246","","","0.707861","","","","","","","","","","","","","","","","","","","","","1260872",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-5 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","49.6","1.9","","11.6","","","","10.6","9.2","10.8","0.2","","1.4","1.6","0.2","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","253","698","","","51","142","13","101","19.5","","","","","78.9","306","28.8","172","8.9","1.96","","","","","0.13","0.09","3.61","","","","12.7","207","19.7","44.6","5.68","24.5","5.71","1.68","5.97","0.98","5.54","1.03","2.91","0.37","2.41","0.33","4.64","0.67","0.83","","","","","","","","4.48","","4.53","0.77","0.51249","","","0.707954","","","","","","","","","","","","","","","","","","","","","1260873",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-7 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","49.2","1.8","","12","","","","10.4","9.6","11","0.2","","1","1.7","0.2","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","262","817","","","55","142","26","90","18.7","","","","","48.9","327","27.1","159","8","0.82","","","","","0.08","0.08","1.77","","","","8.78","138","17.6","39.5","5.05","21.6","5.24","1.59","5.23","0.85","4.83","0.94","2.61","0.35","2.12","0.32","4.14","0.62","0.68","","","","","","","","4.39","","3.99","0.7","0.51248","","","0.707821","","","","","","","","","","","","","","","","","","","","","1260874",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-8 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","49.4","1.7","","11.8","","","","10.5","9.3","11.6","0.2","","0.9","1.7","0.2","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","242","897","","","58","155","36","116","19.1","","","","","53.8","305","27.8","166","10.2","0.54","","","","","0.13","0.08","1.88","","","","6.22","174","19.3","42.2","5.48","23.5","5.82","1.78","6.43","1.02","5.86","1.09","3.34","0.43","2.65","0.36","4.76","0.81","0.69","","","","","","","","4.47","","4.27","0.77","","","","","","","","","","","","","","","","","","","","","","","","","1260875",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-9 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","51.7","2","","12.2","","","","10.3","8.6","8.5","0.2","","1.1","2","0.3","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","264","472","","","48","136","68","109","22.7","","","","","57.3","357","31.4","218","10.7","1.13","","","","","0.12","0.11","9.05","","","","8.27","164","22.2","50.8","6.42","27.5","6.47","1.97","6.29","1.05","6.01","1.15","3.19","0.4","2.56","0.37","5.28","0.75","2.56","","","","","","","","6.73","","5.24","0.94","0.51248","","","0.708026","","","","","","","","","","","","","","","","","","","","","1260876",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-10 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","51.5","2.2","","13","","","","10.4","7.6","7.7","0.2","","1.6","1.9","0.3","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","289","370","","","44","97","38","106","21.9","","","","","82.8","394","31.4","200","10.1","9.32","","","","","0.13","0.09","4.54","","","","12","300","22.6","51.4","6.58","28.4","6.75","1.98","6.8","1.08","6.37","1.2","3.26","0.41","2.67","0.37","5.41","0.77","2.01","","","","","","","","11.8","","4.93","0.97","0.51252","","","0.709825","","","","","","","","","","","","","","","","","","","","","1260877",
"[21632]","CONTINENTAL FLOOD BASALT","COMEI LARGE IGNEOUS PROVINCE / COMEI LARGE IGNEOUS PROVINCE / DALA DIABASE INTRUSION","SOUTH TIBET","28.62","28.62","92.22","92.22","SAE","","","s_T0766-11 [21632]","DIABASE [21632]","","","LOWER [21632]","CRETACEOUS [21632]","","","","","PLU","","","","","WR [21632] ","50.7","2.4","","13.9","","","","10.6","9.3","7.3","0.2","","0.1","2.6","0.3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","292","301","","","40","75","18","91","21.7","","","","","5","533","33.5","210","10.4","1.22","","","","","0.09","0.09","1.92","","","","5.07","43","22.1","50.7","6.49","27.8","6.65","2.18","6.84","1.11","6.15","1.19","3.35","0.43","2.64","0.39","5.23","0.78","4.96","","","","","","","","4.99","","4.58","0.79","0.51256","","","0.708941","","","","","","","","","","","","","","","","","","","","","1260878",
