"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-4 [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","","","","","","","","","","","","","","","0.27","23.3","","","0.06","","","","","","","","","","","","","1.47","1.43","1.58","0.106","0.294","0.078","0.032","0.113","0.024","0.192","0.044","0.136","0.023","0.151","0.026","0.031","0.003","","","","","","","","","0.19","","0.202","0.053","","","","","","","","","","","","","","","","","","","","","","","","","1048671",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-4_LEACH [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","0.16","3.8","","","0.001","","","","","","","","","","","","","0.43","0.05","0.056","0.003","0.009","0.002","0.001","0.0027","0.0006","0.004","0.0008","0.003","0.0004","0.003","0.0006","0.0003","0.00005","","","","","","","","","0.066","","0.008","0.002","","","","","","","","","","","","","","","","","","","","","","","","","1048672",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-4_RESIDUE [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","","","","","","","","","","","","","","0.09","18.2","","","0.06","","","","","","","","","","","","","0.65","1.3","1.4","0.092","0.265","0.071","0.03","0.122","0.027","0.211","0.047","0.149","0.023","0.155","0.028","0.034","0.003","","","","","","","","","0.069","","0.176","0.049","","","","","","","","","","","","","","","","","","","","","","","","","1048673",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-5 [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","","","","","","","","","","","","","","","0.54","4.7","","","0.14","","","","","","","","","","","","","2.7","0.15","0.2","0.03","0.11","0.053","0.025","0.117","0.027","0.218","0.053","0.165","0.029","0.198","0.035","0.017","0.005","","","","","","","","","1.3","","0.015","0.006","","","","","","","","","","","","","","","","","","","","","","","","","1048674",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-5_LEACH [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","0.3","2.4","","","0.01","","","","","","","","","","","","","1.4","0.028","0.045","0.005","0.02","0.004","0.0014","0.0046","0.0008","0.0055","0.0011","0.0035","0.0005","0.004","0.0007","0.0007","0.0001","","","","","","","","","0.055","","0.0014","0.0013","","","","","","","","","","","","","","","","","","","","","","","","","1048675",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-5_RESIDUE [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","0.18","1.2","","","0.11","","","","","","","","","","","","","0.5","0.1","0.082","0.01","0.057","0.04","0.02","0.101","0.024","0.204","0.049","0.159","0.027","0.183","0.032","0.016","0.004","","","","","","","","","0.051","","0.007","0.003","","","","","","","","","","","","","","","","","","","","","","","","","1048676",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-28 [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","","","","","","","","","","","","","","","0.58","31.6","","","0.46","","","","","","","","","","","","","6","0.95","2.4","0.34","1.5","0.36","0.115","0.296","0.049","0.294","0.056","0.156","0.024","0.158","0.026","0.07","0.013","","","","","","","","","0.22","","0.032","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1048677",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-28_LEACH [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","","","","","0.29","4.5","","","0.01","","","","","","","","","","","","","1.2","0.056","0.13","0.014","0.057","0.011","0.004","0.01","0.0016","0.009","0.0018","0.005","0.0008","0.0056","0.001","0.0013","0.0003","","","","","","","","","0.062","","0.0023","0.0024","","","","","","","","","","","","","","","","","","","","","","","","","1048678",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_SB-28_RESIDUE [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","","","","","","","","","","","","","","","0.23","22.9","","","0.44","","","","","","","","","","","","","4.3","0.77","1.98","0.29","1.25","0.28","0.099","0.256","0.041","0.254","0.051","0.139","0.022","0.139","0.024","0.067","0.012","","","","","","","","","0.044","","0.028","0.007","","","","","","","","","","","","","","","","","","","","","","","","","1048679",
"[18673]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SVERREFJELL AND HALVDANPIGGEN VOLCANOES","79","79","12","12","SAE","","","s_43-86 [18673]","LHERZOLITE, SPINEL, XENOLITH [18673]","","","","","","","","MEDIUM-TO COARSE-GRAINED PROTOGRANULAR [18673] ","PER","","","","","WR [18673] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","","","","","","","","","","","","","","","1.34","42.2","","","0.64","","","","","","","","","","","","","29.7","2.29","4.99","0.57","2.02","0.29","0.095","0.23","0.039","0.25","0.052","0.15","0.024","0.157","0.026","0.099","0.017","","","","","","","","","0.32","","0.224","0.059","","","","","","","","","","","","","","","","","","","","","","","","","1048680",
