"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_R490 [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","52.1","2.67","","13.5","","7.25","8.74","15.21","4.64","5.1","0.18","","3.23","2.2","0.33","","","","","1.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","","311","35","","","37","47","88","124","","","","","","41","131","56","195","","","","","","","","","","","","","","456","23","52.1","","","8.6","2.29","","1.17","","","","","4.16","0.73","5.6","","","","","","","","","","","","5.63","","","","","","","","","","","","","","","","","","","","","","","","","","1125757",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_R496 [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","52","2.61","","12.5","","8.41","9.08","16.65","5.77","4.07","0.17","","2.08","3","0.36","","","","","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","","315","17","","","42","30","56","123","","","","","","44","94","","177","","","","","","","","","","","","","","521","36.2","55","","31.66","7.9","2.07","","1.53","","","","","5.29","0.61","6.8","","","","","","","","","","","","5.11","","0.512456","","","","","","","","","","","","","","","","","","","","","","","","1125758",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_TC1-2 [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","50.6","2.4","","12.6","","6.15","11.73","17.28","6.24","3.49","0.21","","2.41","3.81","0.28","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","","411","95","","","25","63","79","91","","","","","","51","149","","212","","","","","","","","","","","","","","408","23.5","52","","30.27","7.52","2.03","","1.21","","","","","4.38","0.62","5.8","1.14","","","","","","","","","","","5.25","","0.512453","","","","","","","","","","","","","","","","","","","","","","","","1125759",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_TC3-2 [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","50.8","2.01","","14","","7.5","7.91","14.58","5.69","5.11","0.24","","1.64","4.93","0.15","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349","46","","","44","67","32","113","","","","","","32","70","30","130","","","","","","","","","","","","","","298","11.3","26.7","","23.1","5.13","1.44","5.84","","6.15","","","","3.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1125760",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_XBA-12     [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","51.1","2.18","","14.6","","7.48","7.52","14.31","5.04","5.65","0.26","","2.8","3.23","0.23","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","404","33","","","39","56","28","136","","","","","","58","124","","149","","","","","","","","","","","","","","402","12.5","29.6","","18.9","5.53","1.24","","0.92","","","","","4.07","0.66","4.6","0.98","","","","","","","","","","","4.09","","","","","","","","","","","","","","","","","","","","","","","","","","1125761",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_XBA-15B [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","49.7","2.21","","14.5","","8.64","7.62","15.39","5.4","5.61","0.24","","2.55","3.31","0.23","","","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.1","","405","36","","","48","65","180","138","","","","","","52.99","154.1","","154","","","","","","","","","","","","","","324","11.4","24.3","","19.02","5.35","1.05","","0.91","","","","","3.6","0.56","4.3","0.96","","","","","","","","","","","3.75","","0.51258","","","0.718525","","","","","","","","","","","","","","","","","","","","","1125762",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_XBA-19A [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","51.4","2.25","","13.8","","8.32","7.01","14.49","5.95","6.31","0.3","","0.49","3.89","0.24","","","","","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7","","445","32","","","45","52","973","141","","","","","","12","157","37","158","10","","","","","","","","","","","","","81","23.4","49.1","","18.7","6.9","1.82","","1.19","","","","","4.04","0.72","4.9","0.99","","","","","","","","","","","3.27","","","","","","","","","","","","","","","","","","","","","","","","","","1125763",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_XBA-20B [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","49.9","2.22","","15.1","","6.78","8.26","14.31","5.13","7.44","0.3","","0.48","4.16","0.2","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5","","461","32","","","67","82","106","144","","","","","","11","105","36","154","10","","","","","","","","","","","","","42","12.3","28.2","","21.2","5.1","1.31","","1.08","","","","","3.56","0.8","4.4","0.94","","","","","","","","","","","3.86","","","","","","","","","","","","","","","","","","","","","","","","","","1125764",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","NORTHERN THUNDERCLOUD RANGE","62.4","62.4","-126.33","-126.33","SAE","","","s_XBA-25 [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","50.3","2.15","","14.3","","10.53","6.16","15.66","5.2","5.76","0.25","","0.78","4.34","0.21","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.4","","442","28","","","42","56","301","139","","","","","","18","119","","164","","","","","","","","","","","","","","102","14.9","34.4","","21.98","6.01","1.75","","1.11","","","","","3.72","0.64","4.5","0.99","","","","","","","","","","","3.67","","0.51255","","","","","","","","","","","","","","","","","","","","","","","","1125765",
"[18792]","CONTINENTAL FLOOD BASALT","MACKENZIE LARGE IGNEOUS PROVINCE / LITTLE DAL BASALT","KEELE RIVER AREA","63.8","63.8","-128.5","-128.5","SAE","","","s_R419 [18792]","BASALT [18792]","","","MESO [18792]","PROTEROZOIC [18792]","","","","","VOL","","","","","WR [18792] ","52.8","2.02","","13.5","","12.18","4.24","15.21","3.34","6.73","0.16","","2.04","2.82","0.14","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","","412","12","","","46","38","35","123","","","","","","35","105","39","103","","","","","","","","","","","","","","199","14.3","24","","","5.1","1.66","","1.13","","","","","3.85","0.45","4.2","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","1125766",
