"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6306]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / AEGINA","","37.75","37.75","23.43","23.43","SAE","","","s_AG.05 [6306]","NOT GIVEN [6306]","","","","","","","","","VOL","","","","","WR [6306] ","57.7","0.61","","17.2","","3","3.1","","8.2","5.3","0.13","","1.83","3.1","0.11","","","","","","","","","","","","","","","","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","","161","136","","","38.4","61","","50","15","","","","","69","309","21","89","7","","","","","","","","","","","","","541","20","30.7","","15.5","3","0.9","3.7","0.7","","","","0.4","2.3","0.4","3.7","","","","","","","","","","","","8.9","","","","","","","","","","","","","","","","","","","","","","","","","","101651",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.41952","36.41952","25.42998","25.42998","SAE","160","160","s_FIR3 [20266]","RHYODACITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","1.2","","","","","","8.81","6.82","","","","1.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","14","","","","","","","","","810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49","","4.87","","","","","","","","","","","","","","","","","","","","8.23","2.43","","","","","","","","","","","","","","","","","","","","","","","","","1054175",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.41584","36.41584","25.42814","25.42814","SAE","2","2","s_FIR4 [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.73","","","","","","6.9","10.06","","","","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","","14","","","","","","","","","1900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.09","","3.14","","","","","","","","","","","","","","","","","","","","6.8","1.88","","","","","","","","","","","","","","","","","","","","","","","","","1054176",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.4326","36.4326","25.41728","25.41728","SAE","260","260","s_SCR1 [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.93","","","","","","6.88","7.12","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","12","","","","","","","","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68","","3.98","","","","","","","","","","","","","","","","","","","","5.8","1.8","","","","","","","","","","","","","","","","","","","","","","","","","1054177",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.43195","36.43195","25.4171","25.4171","SAE","260","260","s_SCR2 [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","1.3","","","","","","8.4","6.22","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","","9","","","","","","","","","410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.74","","5.19","","","","","","","","","","","","","","","","","","","","6.92","2.33","","","","","","","","","","","","","","","","","","","","","","","","","1054178",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.45134","36.45134","25.42344","25.42344","SAE","250","250","s_MPE-R [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.85","","","","","","8.65","9.14","","","","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","","8","","","","","","","","","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18","","3.48","","","","","","","","","","","","","","","","","","","","3.62","0.91","","","","","","","","","","","","","","","","","","","","","","","","","1054179",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.45161","36.45161","25.42329","25.42329","SAE","250","250","s_MPE-B [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.71","","","","","","7.92","11.12","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","4","","","","","","","","","275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.89","","2.17","","","","","","","","","","","","","","","","","","","","0.1","0.33","","","","","","","","","","","","","","","","","","","","","","","","","1054180",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.4611","36.4611","25.381","25.381","SAE","40","40","s_ARM1 [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.87","","","","","","6.88","8.04","","","","1.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1","","7","","","","","","","","","530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63","","4.52","","","","","","","","","","","","","","","","","","","","10.32","3.12","","","","","","","","","","","","","","","","","","","","","","","","","1054181",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.46132","36.46132","25.37991","25.37991","SAE","60","60","s_ARM3 [20266]","ANDESITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.85","","","","","","8.04","10.5","","","","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","8","","","","","","","","","365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.11","","3.41","","","","","","","","","","","","","","","","","","","","4.29","1.32","","","","","","","","","","","","","","","","","","","","","","","","","1054182",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.4359","36.4359","25.34675","25.34675","SAE","100","100","s_THR1 [20266]","RHYODACITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.8","","","","","","5.27","2.71","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","","18","","","","","","","","","880","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.43","","6.49","","","","","","","","","","","","","","","","","","","","16.27","4.85","","","","","","","","","","","","","","","","","","","","","","","","","1054183",
"[20266]","CONVERGENT MARGIN","AEGEAN ARC / SOUTH AEGEAN VOLCANIC ARC / SANTORINI","CALDERA CLIFF","36.4369","36.4369","25.34715","25.34715","SAE","100","100","s_THR2 [20266]","RHYODACITE [20266]","","","","","","","","","VOL","","","","","WR [20266] ","","0.77","","","","","","5.32","3.29","","","","2.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","10","","","","","","","","","940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.16","","6.35","","","","","","","","","","","","","","","","","","","","15.17","4.62","","","","","","","","","","","","","","","","","","","","","","","","","1054184",
