"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","OLD VOLCANOES, ERUPTIVE EPOCH 1","38.42","38.51","14.92","14.93","SAE","","","s_A3 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","53.84","0.68","","16.75","","","","8.42","8.89","5.25","0.16","","1.65","2.36","0.23","","","","","","","","","","","","","","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","305","40","","","27.8","33","","","","","","","","44","531","19.1","66.8","6","","","","","","","","","","","","1.6","372","18.3","36.2","4.47","18.1","3.8","1.12","3.54","0.6","3.44","0.7","2.01","0.3","2","0.29","0","0","","","","","","","","","0","","3.8","1.22","0.512627","","","0.704627","","19.392","","15.674","","39.272","","","","","","","","","","","","","","","1009507",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","OLD VOLCANOES, ERUPTIVE EPOCH 1","38.42","38.51","14.92","14.93","SAE","","","s_T17 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","53.59","0.77","","16.99","","","","8.64","9.42","4.74","0.16","","1.54","2.1","0.18","","","","","","","","","","","","","","","","0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","264","52","","","32","26","","","","","","","","53.9","567","19.3","77.1","7","","","","","","","","","","","","1.8","342","21.8","44.3","5.42","21.8","4.9","1.32","4.31","0.64","3.67","0.72","2.27","0.31","2","0.31","3","0","","","","","","","","","0","","6.3","1.54","","","","","","","","","","","","","","","","","","","","","","","","","1009508",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_A16 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","54.1","0.81","","17.26","","","","7.8","8.89","4.42","0.14","","1.56","2.49","0.23","","","","","","","","","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","250","80","","","31.3","48","","","","","","","","55.2","531","20.1","79","6","","","","","","","","","","","","2.2","478","24","47.2","5.75","22.7","4.8","1.2","4.12","0.64","3.57","0.72","2.21","0.32","2.1","0.3","3","0","","","","","","","","","11","","5.3","1.67","0.512583","","","0.704933","","19.324","","15.677","","39.231","","","","","","","","","","","","","","","1009509",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_LIP84 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","53.58","0.72","","16.94","","","","8.09","9.85","4.71","0.14","","1.95","2.9","0.22","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","261","40","","","24","37","","","","","","","","51.7","753","18.5","76.4","7","","","","","","","","","","","","2.1","474","24.7","48","5.7","23.7","4.7","1.32","4.2","0.67","3.41","0.71","2.07","0.32","1.9","0.3","3","0","","","","","","","","","0","","0","1.84","","","","","","","","","","","","","","","","","","","","","","","","","1009510",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_LIP122 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","55.18","0.83","","16.27","","","","8.41","8.84","4.17","0.15","","1.61","2.01","0.21","","","","","","","","","","","","","","","","1.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","286","80","","","26.1","37","","","","","","","","55.3","545","21.3","76.7","6","","","","","","","","","","","","1.8","410","24.3","46.7","5.66","22.3","4.6","1.2","4.1","0.66","3.75","0.8","2.2","0.31","2","0.34","3","0","","","","","","","","","11","","5.1","1.6","0.512665","","","0.704569","","19.45","","15.698","","39.377","","","","","","","","","","","","","","","1009511",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_LIP105 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","51.87","0.55","","14.85","","","","7.87","10.95","7.63","0.14","","0.95","2.41","0.16","","","","","","","","","","","","","","","","1.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","261","170","","","33.2","68","","","","","","","","26","458","14.4","41.7","3","","","","","","","","","","","","0.9","266","12.5","24.7","3.19","12.9","3","0.86","2.76","0.45","2.57","0.54","1.63","0.25","1.5","0.3","0","0","","","","","","","","","0","","2.5","0.85","0.512709","","","0.70442","","19.562","","15.682","","39.4","","","","","","","","","","","","","","","1009512",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_A1 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","52.12","0.68","","17.29","","","","8.61","10.11","5.84","0.17","","1.22","2.22","0.15","","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","250","80","","","30.3","42","","","","","","","","41.6","456","17.8","63.8","5","","","","","","","","","","","","1.6","287","16.3","31.8","3.98","16.1","3.5","0.97","3.06","0.56","2.99","0.63","1.8","0.25","1.8","0.36","0","0","","","","","","","","","0","","6.2","1.2","0.512548","","","0.705124","","19.302","","15.68","","39.229","","","","","","","","","","","","","","","1009513",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_LIP114 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","53.96","0.69","","15.13","","","","8.31","10.14","5.86","0.32","","1.37","2.28","0.18","","","","","","","","","","","","","","","","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","278","110","","","39","50","","","","","","","","33","512","17.4","58.1","4","","","","","","","","","","","","0.9","296","17.9","35.5","4.35","17.6","3.9","1.03","3.43","0.57","3.21","0.68","1.88","0.26","1.8","0.34","0","0","","","","","","","","","0","","4.5","1.27","0.512596","","","0.70489","","19.427","","15.684","","39.322","","","","","","","","","","","","","","","1009514",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","WESTERN VOLCANOES, ERUPTIVE EPOCH 2","38.41","38.51","14.92","14.93","SAE","","","s_T9 [19952]","ANDESITE [19952]","","","","","","","","","VOL","","","","","WR [19952] ","54.83","0.68","","17.21","","","","7.65","8.93","4.43","0.14","","1.1","2.98","0.14","","","","","","","","","","","","","","","","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","217","80","","","23.9","63","","","","","","","","102","417","23.9","121","10","","","","","","","","","","","","4.4","600","30.3","59.4","7.13","27.6","5.6","1.13","4.75","0.78","4.58","0.87","2.5","0.35","2.5","0.38","4","0","","","","","","","","","19","","8.3","2.66","0.512519","","","0.705787","","19.27","","15.673","","39.188","","","","","","","","","","","","","","","1009515",
"[19952]","CONVERGENT MARGIN","AEOLIAN ARC / ITALY / LIPARI","MOUNT CHIRICA STRATOCONE, ERUPTIVE EPOCH 3","38.45","38.45","14.93","14.93","SAE","","","s_LIP211 [19952]","ANDESITE, BASALTIC [19952]","","","","","","","","","VOL","","","","","WR [19952] ","52.35","0.61","","16.69","","","","7.94","9.71","6.38","0.16","","1.05","2.32","0.14","","","","","","","","","","","","","","","","1.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","251","100","","","33.2","53","","","","","","","","35.4","501","18.3","54.2","4","","","","","","","","","","","","1.3","264","19.5","33.8","4.81","19.3","4.1","1.08","3.62","0.62","3.14","0.64","1.98","0.28","1.8","0.27","","","","","","","","","","","","","3.3","1.22","0.512597","","","0.704798","","19.385","","15.687","","39.299","","","","","","","","","","","","","","","1009516",
