"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[16383]","CONVERGENT MARGIN","ALEUTIAN ARC / ALEUTIAN BACK ARC / PRIBILOF ISLANDS - ST. GEORGE","COASTLINE, NEAR LANDING BEACH, ST. GEORGE VILLAGE","56.62","56.62","-169.55","-169.55","SAE","","","s_G-200 [16383]","DIORITE, QUARTZ [16383]","","","","EOCENE [16383]","","","","","PLU","","","","","WR [16383] ","65.6","0.36","","18.1","","","","4.8","2.83","1.16","0.14","","2.42","4.34","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","3","","","","","","","3","","68","389","17","130","0","","","","","","","","","","","","","763","18","35","","18","3.6","0.95","","0.33","","","","","1.5","0.22","3.6","0.5","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","","","","","","","","","","1001651",
"[6583]","CONVERGENT MARGIN","ALEUTIAN ARC / SECOND ALEUTIAN ARC / UMNAK / RECHESHNOI","","53.2542","53.2542","-168.5417","-168.5417","SAE","","","s_LUM20 [6583]","ANDESITE [6583]","","","","","","","","","VOL","","","","","WR [6583] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106519",
"[2243]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / UPPER ALASKA PENINSULA / SOUTHWEST TRIDENT","KATMAI NATIONAL PARK","58.2","58.2","-155.1","-155.1","SAE","","","s_UA200 [2243]","NOT GIVEN [2243]","","","","","","","","","VOL","","","","","GL [2243] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.61","940","19.8","43","","20","6.32","0.88","","1.01","","","","","4.84","0.79","5.04","0.4","","","","","","","","","","","6.2","2.5","","","","","","","","","","","","","","","","","","","","","","","","","107054",
"[6565]","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / RAT ISLANDS / KISKA","","52","52","177.5","177.5","SAE","","","s_KISKA62 [6565]","NOT GIVEN [6565]","","","","","","","1962","","VOL","","","","","WR [6565] ","55.22","0.75","","18.68","","","","7.09","8.47","3.8","0.15","","1.11","3.5","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","0.76","20.9","","","","","","","","","","","","19","","191","11","","","","7","38","66","18.1","","","","","21.85","396","21.69","102.2","2.35","","","","","","","","","","","","1.07","331","8.85","20.59","3.02","13.19","3.52","1.12","3.5","0.56","3.49","0.73","2.1","0.34","2.18","0.36","2.77","0.19","","","","","","","","","5.59","","1.936","0.936","0.51304","","","0.70323","","18.839","","15.595","","38.492","","","","","","","","","","","","","","","108824",
"[6565]","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / RAT ISLANDS / LITTLE SITKIN","","51.97","51.97","178.5","178.5","SAE","","","s_52-496 [6565]","NOT GIVEN [6565]","","","","","","","1900","","VOL","","","","","WR [6565] ","58.63","0.75","","17.04","","","","5.98","7.15","3.19","0.15","","1.33","3.37","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","234","14","","","","4","116","99","17.3","","","","","25.09","285","21.5","111.3","4.53","","","","","","","","","","","","1.3","346","8.82","19.61","2.73","11.72","3.14","0.91","3.24","0.53","3.35","0.72","2.12","0.35","2.24","0.37","2.99","1.93","","","","","","","","","7.58","","2.458","1.097","0.51303","","","0.703405","","18.495","","15.562","","38.167","","","","","","","","","","","","","","","108827",
"[6565]","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / SEGUAM / SEGUAM / TURF POINT FORMATION","","52.25","52.42","-172.25","-172.67","SAE","","","s_99SJP01 [6565]","NOT GIVEN [6565]","","","","HISTORICAL [6565]","","","","","VOL","","","","","WR [6565] ","52.66","0.75","","18.1","","","","8.09","10.85","5.73","0.16","","0.53","2.69","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","0.47","16","","","","","","","","","","","","37","","282","94","","","","20","92","69","17.2","","","","","11.41","335","16.1","43.8","1","","","","","","","","","","","","0.91","189","3.95","9.25","1.4","6.52","1.99","0.77","2.37","0.39","2.55","0.56","1.58","0.25","1.57","0.25","1.28","0.1","","","","","","","","","4.4","","0.9","0.512","0.512967","","","0.703585","","18.893","","15.583","","38.461","","","","","","","","","","","","","","","108831",
"[6859][6565][7092]","CONVERGENT MARGIN","ALEUTIAN ARC / SECOND ALEUTIAN ARC / AKUTAN / AKUTAN","","54.17","54.17","-165.92","-165.92","SAE","","","s_96PS23 [6859]","THOLEIITE [6859] / NOT GIVEN [6565]","","","","","","","1978","","VOL","","","","","WR [6859] ","55.37","1.15","","17.06","","","","9.5","7.65","3.69","0.22","","0.86","4.29","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.57","14","","","","","","","","","","","","27","","260","7","","","","0","108","86","19.2","","","","","19.22","370","32.9","93.4","1.8","","","","","","","","","","","","1.84","323","7.61","18.76","2.91","13.81","4.38","1.34","5.01","0.86","5.37","1.15","3.31","0.52","3.32","0.53","2.75","0.14","","","","","","","","","8.87","","1.673","0.9","0.513","","","0.70348","","18.963","","15.591","","38.528","","","","","","","","","","","","","","","108837",
"[6565][7092]","CONVERGENT MARGIN","ALEUTIAN ARC / SECOND ALEUTIAN ARC / UNIMAK / SHISHALDIN","","54.668","54.668","-163.9771","-163.9771","SAQ","","","s_99SH 08 [6565]","NOT GIVEN [6565]","","","","","","","1999","","VOL","","","","","WR [6565] ","49.28","2.09","","17.96","","","","11.28","9.19","5.47","0.17","","0.72","3.3","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","0.82","9.1","","","","","","","","","","","","28","","288","2","","","","10","68","94","18","","","","","16.4","548","37.3","136.8","6.75","","","","","","","","","","","","0.81","398","15.15","37.2","5.7","26.54","7","2.09","7.04","1.08","6.45","1.29","3.54","0.52","3.3","0.5","3.6","0.46","","","","","","","","","3.43","","1.257","0.808","0.513045","","","0.703016","","18.732","","15.523","","38.18","","","","","","","","","","","","","","","108840",
"[6565][7092]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / EMMONS LAKE VOLCANIC CENTER - PAVLOF","","55.43","55.43","-161.92","-161.92","SAQ","","","s_PAV-86 [6565]","NOT GIVEN [6565]","","","","","","","1996","","VOL","","","","","WR [6565] ","53.15","1.05","","19.88","","","","8.02","9.2","3.87","0.18","","0.63","3.76","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","0.61","13","","","","","","","","","","","","22","","240","13","","","","3","36","92","20.3","","","","","10.74","427","26.2","111","3.86","","","","","","","","","","","","0.5","243","8.31","20.85","3.17","14.5","4.05","1.28","4.23","0.69","4.32","0.89","2.56","0.4","2.54","0.4","2.76","0.63","","","","","","","","","3.58","","0.816","0.448","0.512962","","","0.703485","","18.881","","15.573","","38.381","","","","","","","","","","","","","","","108841",
"[6859][6565]","CONVERGENT MARGIN","ALEUTIAN ARC / ALASKA PENINSULA / COLD BAY / ANIAKCHAK","","56.88","56.88","-158.17","-158.17","SAE","","","s_92CNA22 [6859]","NOT GIVEN [6859]","","3500 [6565]","","","","","","","VOL","","","","","WR [6859] ","52.52","1.17","","18.1","","","","9.39","10.1","4.37","0.18","","0.94","3.03","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","1.07","18.2","","","","","","","","","","","","32","","366","39","","","","18","91","81","19.2","","","","","21.22","372","24.3","95.5","5.72","","","","","","","","","","","","0.96","304","9.8","22.22","3.17","14.14","3.93","1.2","4.12","0.66","4.11","0.85","2.39","0.36","2.36","0.37","2.58","0.62","","","","","","","","","3.56","","1.914","0.898","0.51298","","","0.70327","","18.854","","15.565","","38.383","","","","","","","","","","","","","","","108842",
