"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_L1 [20059]","PHONOTEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","51.6","0.96","","17.95","","","","6.67","8.06","4.26","0.12","","6","2.24","0.68","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","214","","","","23.6","19.1","60","52","17","","","","","263","843","24.3","217.1","35.9","","","","","","","","","","","","12.6","1605","42.6","91.5","11","44.9","8.46","1.96","6.45","0.94","4.67","0.82","2.21","0.34","1.94","0.31","5.7","1.9","","","","","","","","","50.8","","20.8","8.7","","","","","","","","","","","","","","","","","","","","","","","","","1021558",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_V1 [20059]","PHONOTEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.22","0.89","","16.45","","","","6.85","9.26","5.85","0.12","","5.99","2.01","0.67","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","217","","","","28.5","25.4","81","29","15.8","","","","","275","874","24.2","181.1","27","","","","","","","","","","","","13.9","1741","41.3","90.6","10.7","42.2","8.36","1.97","6.72","0.97","4.39","0.88","2.27","0.34","2.09","0.3","4.3","1.4","","","","","","","","","18.3","","15.7","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1021559",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE III","40.84346","40.84346","14.39484","14.39484","SAE","325","325","s_L3 [20059]","NOT GIVEN [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.48","0.91","","16.14","","","","6.8","9.63","6.03","0.13","","5.82","1.85","0.7","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","218","","","","28","29.3","35","36","15.3","","","","","257","867","24.4","178.8","26.2","","","","","","","","","","","","13.5","1733","43.2","93.1","10.95","43","8.81","2.03","6.74","0.99","4.6","0.8","2.22","0.31","1.99","0.3","4.4","1.3","","","","","","","","","200.4","","15.4","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1021560",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE III","40.84346","40.84346","14.39484","14.39484","SAE","325","325","s_V3 [20059]","ANDESITE, BASALTIC [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.09","0.95","","15.66","","","","7.22","9.96","6.59","0.13","","5.12","1.89","0.71","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","232","","","","31.6","32","71","27","15.2","","","","","210","846","26","191","27.5","","","","","","","","","","","","10.5","1722","44.2","94.9","11.43","45.5","8.84","2.21","7.45","1.05","4.85","0.88","2.51","0.33","2.12","0.3","4.8","1.4","","","","","","","","","15.6","","15.9","5.3","","","","","","","","","","","","","","","","","","","","","","","","","1021561",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_L1E [20059]","PHONOTEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.74","0.86","","17.26","","","","6.36","8.51","5.14","0.13","","6.85","2.03","0.59","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","200","","","","25.4","28.7","74","34","17.4","","","","","314","717","19.7","166.6","23","","","","","","","","","","","","20","1587","37","72.7","8.66","35.2","6.64","1.72","6.04","0.71","3.75","0.72","1.78","0.25","1.54","0.23","3.7","1.2","","","","","","","","","7.7","","13.9","4.4","","","","","","","","","","","","","","","","","","","","","","","","","1021562",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_VO1 BIS B [20059]","ANDESITE, BASALTIC [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.45","0.84","","15.87","","","","6.67","9.52","6.41","0.12","","6.01","1.85","0.61","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","210","","","","33.1","37.2","93","40","14.3","","","","","280","762","21.3","165.8","22","","","","","","","","","","","","14.4","1486","36.6","72.2","8.87","35.2","7.1","1.85","6.2","0.8","3.95","0.69","1.84","0.26","1.65","0.23","4.7","1","","","","","","","","","4.9","","11.9","3.9","","","","","","","","","","","","","","","","","","","","","","","","","1021563",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE I","40.84568","40.84568","14.39241","14.39241","SAE","256","256","s_VO1 BIS D [20059]","ANDESITE, BASALTIC [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.3","0.87","","15.83","","","","6.62","9.41","6.05","0.13","","6.24","1.89","0.62","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","189","","","","27.3","26.2","272","29","13.6","","","","","298","719","21.2","168.7","23","","","","","","","","","","","","15.4","1509","36.9","76.9","8.91","35.6","7.62","1.78","6.54","0.79","4.65","0.79","1.76","0.24","1.76","0.23","4.6","1","","","","","","","","","2.1","","12.1","3.8","","","","","","","","","","","","","","","","","","","","","","","","","1021564",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE II","40.84454","40.84454","14.39352","14.39352","SAE","282","282","s_VO 2F [20059]","ANDESITE, BASALTIC [20059]","","","","","","","","","VOL","","","","","WR [20059] ","50.45","0.91","","18.2","","","","6.88","9.23","5.69","0.13","","5.53","2.14","0.7","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","194","","","","25.9","30.9","183","38","14.3","","","","","236","791","23.1","184.2","25","","","","","","","","","","","","11.3","1653","41","84.1","9.94","41","7.61","1.85","6.5","0.82","4.6","0.74","1.9","0.29","1.76","0.26","4.3","1.2","","","","","","","","","15.9","","14.4","4.6","","","","","","","","","","","","","","","","","","","","","","","","","1021565",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE II","40.84454","40.84454","14.39352","14.39352","SAE","282","282","s_VX [20059]","PHONOTEPHRITE [20059]","","","","","","","","","VOL","","","","","WR [20059] ","47.69","0.98","","17.71","","","","7.67","9.55","4.15","0.15","","6.28","2.74","0.81","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","229","","","","28.2","7","27","35","17.5","","","","","260","1129","27.9","184.4","29.6","","","","","","","","","","","","17.5","2336","53.3","114.9","13.6","52","10.55","2.54","8.12","1.16","5.32","0.95","2.67","0.37","2.24","0.32","4.4","1.7","","","","","","","","","64.7","","21","7.1","","","","","","","","","","","","","","","","","","","","","","","","","1021566",
"[20059]","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / CAMPANIAN VOLCANIC PROVINCE / VESUVIUS (SOMMA-VESUVIUS)","POLLENA QUARRY, CONE II","40.84454","40.84454","14.39352","14.39352","SAE","282","282","s_L2H [20059]","ANDESITE, BASALTIC [20059]","","","","","","","","","VOL","","","","","WR [20059] ","51.47","0.91","","17.02","","","","7.35","8.73","3.88","0.14","","5.09","2.75","0.6","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","196","","","","22.7","6.8","26","35","18.4","","","","","248","854","26","230.8","35","","","","","","","","","","","","11.6","1303","49.2","93.5","11.32","47.7","9.09","2.09","7.74","0.96","5.17","0.82","2.77","0.38","2.32","0.34","5.3","1.9","","","","","","","","","3.3","","15.3","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1021567",
