"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4590]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH","","-33.54","-33.54","178.75","178.75","SAQ","","","s_PPTUW [4590]","BASALT [4590]","","","","","","","","","VOL","","","","","WR [4590] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.283188","","","","","","","105945",
"[7403][13599]","CONVERGENT MARGIN","KERMADEC ARC / KERMADEC ISLANDS / RAOUL / RAOUL / BOAT COVE FORMATION - MEYER MEMBER","SOUTH MEYER","-29.25","-29.25","-177.87","-177.87","SAE","","","s_14807 [7403]","NOT GIVEN [7403]","","","","","","","","","VOL","","","F","","WR [7403] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","0.37","31.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.97","","","0.000447","0.0000022","","","","","","","","0.424","","","","","","","","","","","","","","","","0.3026","","983","0.283167","","","","","","","133356",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / DREDGE 18DR","EASTERN BASE OF A CENTRAL HIGH-STANDING REGION WITHIN THE HAVRE TROUGH, WEST OF RAOUL ISLAND","-29.268","-29.268","-178.867","-178.867","SAQ","-2350","-2350","s_18DR-2 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","49.5","2.12","","15.7","","","","9.71","10.71","6.39","0.2","","0.23","3.62","0.41","","","","","","","0.06","0.01","","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6","","","212","","","41","95.5","54.5","91","","","","","","2.12","207","34.7","147","3.8","","","","","","","","","","","","0.05","26.5","6.08","17.9","3.08","15.6","4.9","1.74","5.86","1.03","6.64","1.38","4.14","0.56","3.75","0.55","4.24","0.26","","","","","","","","","0.63","","0.3","0.14","0.513102","","","0.702613","","18.708","","15.531","","38.195","","","","","","","","","","","","","","","138668",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / DREDGE 18DR","EASTERN BASE OF A CENTRAL HIGH-STANDING REGION WITHIN THE HAVRE TROUGH, WEST OF RAOUL ISLAND","-29.268","-29.268","-178.867","-178.867","SAQ","-2350","-2350","s_18DR-3 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","48.1","2.2","","15.38","","","","9.86","10.73","5.99","0.19","","0.23","3.81","0.37","","","","","","","0.06","0.02","","","","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3","","","232","","","42.3","109","54.7","84.5","","","","","","1.76","211","34.8","151","3.98","0.57","","","","","","","","","","","0.05","26.7","6.06","18.9","3.1","16","5.01","1.73","5.71","1.01","6.55","1.37","3.84","0.54","3.48","0.51","3.87","0.3","","","","","","","","","0.87","","0.31","0.14","0.51311","","","0.702609","","18.714","","15.534","","38.208","","","","","","","","","","","","","","","138669",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / DREDGE 18DR","EASTERN BASE OF A CENTRAL HIGH-STANDING REGION WITHIN THE HAVRE TROUGH, WEST OF RAOUL ISLAND","-29.268","-29.268","-178.867","-178.867","SAQ","-2350","-2350","s_18DR-4 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","49.4","1.28","","15.49","","","","8.77","11.62","6.63","0.17","","0.29","2.67","0.29","","","","","","","0.04","0.04","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1","","","222","","","38.9","93.5","79.9","69.6","","","","","","4.11","218","18.6","65.4","2.35","","","","","","","","","","","","0.11","55.1","3.89","10.4","1.65","8.01","2.46","0.93","2.99","0.53","3.45","0.72","2.16","0.3","2.01","0.3","1.95","0.17","","","","","","","","","1.38","","0.32","0.14","0.513105","","","0.702819","","18.699","","15.546","","38.3","","","","","","","","","","","","","","","138670",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 19DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-29.267","-29.267","-178.875","-178.875","SAQ","-2140","-2140","s_19DR-1 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","50","1.92","","16.36","","","","9.24","10.48","6.37","0.16","","0.23","3.15","0.18","","","","","","","0.03","0.19","","","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.3","","","259","","","40.4","126","55.3","88.4","","","","","","1.99","208","29","118","3.63","0.51","","","","","","","","","","","0.055","33.1","5.37","16","2.55","13.1","4.05","1.48","4.72","0.83","5.36","1.11","3.14","0.45","2.94","0.42","3.02","0.27","","","","","","","","","0.82","","0.31","0.14","0.513095","","","0.702683","","18.746","","15.523","","38.225","","","","","","","","","","","","","","","138671",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 19DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-29.267","-29.267","-178.875","-178.875","SAQ","-2140","-2140","s_19DR-2 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","50","1.99","","16.16","","","","9.59","10.51","5.94","0.18","","0.25","3.26","0.23","","","","","","","0.02","0.19","","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.3","","","209","","","36.6","87.3","55.2","85.4","","","","","","2.09","204","29.3","119","3.72","0.54","","","","","","","","","","","0.059","34","5.58","16.5","2.66","13.7","4.27","1.51","4.92","0.87","5.61","1.18","3.32","0.47","3.04","0.44","3.18","0.29","","","","","","","","","0.88","","0.33","0.15","","","","","","","","","","","","","","","","","","","","","","","","","138672",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 41DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-30.575","-30.575","-179.017","-179.017","SAQ","-1944","-1944","s_41DR-1 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","WR [6185] ","47.7","1.05","","15.81","","","","8","11.23","9.28","0.15","","0.41","2.33","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","","","410","","","43.1","166","49.8","65","","","","","","6.18","242","19.2","67.1","1.96","","","","","","","","","","","","0.21","84.7","4.59","11.8","1.9","9.11","2.69","0.97","3.16","0.54","3.53","0.75","2.25","0.31","2.05","0.3","1.95","0.15","","","","","","","","","1.26","","0.57","0.21","","","","","","","","","","","","","","","","","","","","","","","","","138673",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 41DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-30.575","-30.575","-179.017","-179.017","SAQ","-1944","-1944","s_41DR-2 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","WR [6185] ","51","0.6","","17.28","","","","10.47","11.28","6.61","0.19","","0.27","1.71","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1","","","232","","","35.4","142","53.9","60.7","","","","","","6.14","213","21.4","92.2","3.54","0.81","","","","","","","","","","","0.17","77.4","5.63","14.7","2.33","11.3","3.26","1.15","3.75","0.63","4.09","0.86","2.4","0.35","2.29","0.34","2.41","0.23","0.11","","","","","","","0.15","1.27","","0.53","0.19","0.513061","","","0.702982","","18.663","","15.528","","38.2","","","","","","","","","","","","","","","138674",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 41DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-30.575","-30.575","-179.017","-179.017","SAQ","-1944","-1944","s_41DR-8 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","49.8","1.33","","15.78","","","","8.78","11.54","6.5","0.19","","0.35","3.01","0.31","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2","","","221","","","36.2","77.6","64.5","66.6","","","","","","5.64","246","19.9","73.5","1.97","","","","","","","","","","","","0.2","94","4.83","12.5","1.97","9.61","2.82","1.04","3.31","0.6","3.83","0.81","2.41","0.33","2.19","0.33","2.19","0.13","","","","","","","","","1.45","","0.63","0.21","0.51306","","","0.703041","","18.701","","15.566","","38.409","","","","","","","","","","","","","","","138675",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 42DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-30.523","-30.523","-178.833","-178.833","SAQ","-1680","-1680","s_42DR-1 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","GL [6185] ","49.4","1.06","","15.74","","","","8.61","11.75","6.42","0.18","","0.99","2.56","0.43","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5","","","315","","","37.1","95.7","89.6","63.1","","","","","","18.3","326","19.9","74.5","1.23","0.44","","","","","","","0.69","0.01","","","0.46","203","6.05","15","2.37","11.5","3.34","1.19","3.92","0.65","4","0.83","2.44","0.33","2.23","0.33","2.14","0.08","0.1","","","","","","","0.11","1.68","","0.58","0.35","0.513042","","","0.703228","","18.757","","15.554","","38.263","","","","","","","","","","","","","","","138676",
"[6185]","CONVERGENT MARGIN","KERMADEC ARC / HAVRE TROUGH / KERMADEC RIDGE","DREDGE 42DR, SCARP CUTTING THE LOWER WESTERN FLANK OF THE KERMADEC RIDGE NW OF CURTIS ISLAND","-30.523","-30.523","-178.833","-178.833","SAQ","-1680","-1680","s_42DR-3 [6185]","BASALT [6185]","","","","","","","","","VOL","","","","","WR [6185] ","49.3","0.8","","14.44","","","","8.41","11.35","12.6","0.16","","0.73","1.9","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","527","","","52.9","303","74.9","58.6","","","","","","11.3","272","16.1","58.6","1.08","","","","","","","","","","","","0.3","161","4.84","12.2","1.9","9.12","2.65","0.96","3.08","0.51","3.14","0.64","1.89","0.26","1.72","0.25","1.64","0.09","","","","","","","","","1.2","","0.43","0.28","","","","","","","","","","","","","","","","","","","","","","","","","138677",
