"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2696]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / ST. LUCIA","","13.75","14.5","-60.9","-61.1","SAE","","","s_7 [2696]","NOT GIVEN [2696]","","","","","","","","","VOL","","","","","WR [2696] ","72.1","0.3","","13.7","","1.2","2.6","","2.9","0","0.3","","2","4.9","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101392",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.67672","16.67672","-62.1693","-62.1693","SAE","","","s_SSH3 [19277]","BASALT [19277]","","","","","","","","","VOL","","","","","WR [19277] ","49.22","1","","18.67","","","","9.81","10.93","5.93","0.18","","0.63","2.45","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019297",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.67622","16.67622","-62.1683","-62.1683","SAE","","","s_SSH4 [19277]","BASALT [19277]","","","","","","","","","VOL","","","","","WR [19277] ","50.87","0.87","","19.2","","","","8.62","10.65","4.83","0.18","","0.69","2.73","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019298",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.69131","16.69131","-62.1487","-62.1487","SAE","","","s_SSH5B [19277]","ANDESITE [19277]","","","","","","","","","VOL","","","","","WR [19277] ","58.77","0.59","","17.95","","","","6.82","7.27","3.19","0.19","","0.6","3.52","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019299",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.69226","16.69226","-62.1479","-62.1479","SAE","","","s_SSH10 [19277]","BASALT [19277]","","","","","","","","","VOL","","","","","WR [19277] ","48.06","0.97","","18.89","","","","9.58","10.96","5.33","0.19","","0.59","2.53","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019300",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.69005","16.69005","-62.1488","-62.1488","SAE","","","s_SSH7G [19277]","BASALT [19277]","","","","","","","","","VOL","","","","","WR [19277] ","47.84","0.9","","19.3","","","","9.28","11.52","5.33","0.18","","0.53","2.41","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019301",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.69005","16.69005","-62.1488","-62.1488","SAE","","","s_SSH7B [19277]","BASALT [19277]","","","","","","","","","VOL","","","","","WR [19277] ","50.19","0.77","","19.67","","","","8.12","10.39","4.58","0.18","","0.34","2.69","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019302",
"[19277]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT","S COAST OF MONTSERRAT","16.6769","16.6769","-62.179","-62.179","SAE","","","s_SSH1F [19277]","ANDESITE, BASALTIC [19277]","","","","","","","","","VOL","","","","","WR [19277] ","52.69","0.87","","17.63","","","","7.88","9.04","4.17","0.18","","0.77","3.21","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1019303",
"[3772]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / ST. VINCENT / LA SOUFRIERE","","13.1","13.4","-61","-61.3","SAE","","","s_V37472 [3772]","NOT GIVEN [3772]","","","","","","","","","PLU","","","","","WR [3772] ","38.89","0.69","","18.45","","","","7.85","29.06","4.76","0.21","","0","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102716",
"[4229]","CONVERGENT MARGIN","LESSER ANTILLES / LESSER ANTILLES / MONTSERRAT / SOUFRIERE HILLS","","16.72","16.72","-62.18","-62.18","SAE","","","s_MONT128 [4229]","ANDESITE [4229]","","","","","","12","1995","POORLY VESICULAR [4229] ","VOL","","","","","GL [4229] ","59.72","0.58","","18.26","","","","6.61","7.43","2.8","0.13","","0.92","3.33","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","276","23","104","","","","","","","","","","","","","","211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103285",
