"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SAE","","","s_A504 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOL","","","","","WR [19842] ","54.8","1.18","","18.68","","1.18","7.13","","6.41","3.74","0.13","","0.68","3","0.26","","","","","","","","","","","","","","","","7.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292","37","","","20","10","","","","","","","","18","299","31","131","8","","","","","","","","","","","","","390","23","34","","","","","","","","","","","","","","","","","","","","","","","","","4","24","","","","","","","","","","","","","","","","","","","","","","","","","1072823",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SAE","","","s_A521 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOL","","","","","WR [19842] ","53.03","1.07","","17.75","","1.35","8.09","","9.42","3.97","0.16","","1.11","2.34","0.25","","","","","","","","","","","","","","","","1.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","36","","","25","19","","","","","","","","24","326","32","64","8","","","","","","","","","","","","","221","10","23","","","","","","","","","","","","","","","","","","","","","","","","","4","9","","","","","","","","","","","","","","","","","","","","","","","","","1072829",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA","LOGUDORO-BOSANO AREA","40.4","40.5","8.6","8.8","SAE","","","s_A578 [19842]","ANDESITE [19842]","","","","NEOGENE [19842]","","","","","VOL","","","","","WR [19842] ","60.39","0.9","","17.74","","0.91","5.43","","6.94","3.4","0.14","","2.05","2.91","0.27","","","","","","","","","","","","","","","","2.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","28","","","17","14","","","","","","","","77","352","32","160","11","","","","","","","","","","","","","338","27","57","","","","","","","","","","","","","","","","","","","","","","","","","8","18","","","","","","","","","","","","","","","","","","","","","","","","","1072831",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA","MARMILLA","39.8","39.8","8.75","8.75","SAE","","","s_A703 [19842]","ANDESITE, BASALTIC [19842]","","","","NEOGENE [19842]","","","","","VOL","","","","","WR [19842] ","55.62","0.86","","16.1","","1.14","6.83","","9.05","7.55","0.14","","1.07","2.05","0.18","","","","","","","","","","","","","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","329","","","25","72","","","","","","","","28","211","26","120","7","","","","","","","","","","","","","396","20","51","","","","","","","","","","","","","","","","","","","","","","","","","6","7","","","","","","","","","","","","","","","","","","","","","","","","","1072836",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA","MARMILLA","39.8","39.8","8.75","8.75","SAE","","","s_A713 [19842]","BASALT [19842]","","","","NEOGENE [19842]","","","","","VOL","","","","","WR [19842] ","52.12","0.76","","17.14","","1.16","7.02","","10.75","5.88","0.13","","0.26","1.79","0.18","","","","","","","","","","","","","","","","2.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","184","","","29","78","","","","","","","","11","302","17","51","5","","","","","","","","","","","","","177","8","20","","","","","","","","","","","","","","","","","","","","","","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","1072837",
"[19842]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA","MARMILLA","39.8","39.8","8.75","8.75","SAE","","","s_AB53 [19842]","BASALT [19842]","","","","NEOGENE [19842]","","","","","VOL","","","","","WR [19842] ","52.69","0.81","","14.67","","1.28","7.69","","9.54","9.35","0.13","","0.31","1.47","0.19","","","","","","","","","","","","","","","","1.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","420","","","38","124","","","","","","","","22","212","25","86","5","","","","","","","","","","","","","199","13","33","","","","","","","","","","","","","","","","","","","","","","","","","4","26","","","","","","","","","","","","","","","","","","","","","","","","","1072839",
"[14035]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO","100 M SOUTH OF N.GHE SCALA","40.5","40.5","8.5","8.5","SAE","","","s_104 DB [14035]","BASALT, ALKALINE [14035]","","","","","","","","","VOL","","","","","WR [14035] ","48.18","2.27","","15.45","","4.83","5.1","","8.38","7.88","0.15","","1.33","4.02","0.66","","1.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1074603",
"[14035]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO","SERRA PASSA","40.5","40.5","8.5","8.5","SAE","","","s_186 DB [14035]","BASALT, ALKALINE [14035]","","","","","","","","","VOL","","","","","WR [14035] ","48.46","2.25","","14.43","","3.98","5.4","","7.98","9.28","0.18","","1.07","4.16","0.61","","1.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1074604",
"[14035]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO","400 M SE OF OSPEDALE SCALA","40.5","40.5","8.5","8.5","SAE","","","s_AS 63 [14035]","HAWAIITE [14035]","","","","","","","","","VOL","","","","","WR [14035] ","49.79","2.12","","15.97","","2.57","6.59","","7.81","7.88","0.12","","1.39","4.16","0.53","","0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1074605",
"[14035]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO","OSPEDALE SCALA","40.5","40.5","8.5","8.5","SAE","","","s_100 DB [14035]","HAWAIITE [14035]","","","","","","","","","VOL","","","","","WR [14035] ","48.8","2.57","","14.9","","4.01","5.02","","8.22","7.8","0.14","","1.26","4.53","0.7","","1.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1074606",
