"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2514][2403]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TRENCH / STATION 1402","STATION 1402 D 2, OFFSHORE SLOPE","13.55","13.55","146.99","146.995","SAQ","-5400","-5600","s_1402A [2514]","BASALT, ALKALINE [2514] / BASALT, DOLERITIC [2403]","","","","","","","","","VOL","","","S","","WR [2514] ","45.77","2.12","","16.31","","9.36","2.89","","8.15","6.31","0.16","","1.06","3.81","0.34","","","","","","","","","","","","","","","","3.72","","","","","","","","","","","","","","52","","","","","","","","","","","","","","26","","258","338","","","41","235","","199","","","","","","18","368","26","153","24","","","","","","","","","","","","","155","13.1","33","","17.9","4.58","1.59","","0.84","","","","","2.46","0.39","3.5","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","101843",
"[2514][2403]","CONVERGENT MARGIN","MARIANA ARC / MARIANA TRENCH / STATION 1402","STATION 1402 D 2, OFFSHORE SLOPE","13.55","13.55","146.99","146.995","SAQ","-5400","-5600","s_1402B [2514]","BASALT, THOLEIITIC [2514] / BASALT [2403]","","","","","","","","","VOL","","","M","","WR [2514] ","46.18","1.93","","15.46","","10.05","3.23","12.28","10.97","4.61","0.15","","1.11","2.79","0.16","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","32","","","","","","","","","","","","","","39","","297","255","","","42","75","","140","","","","","","19","213","24","87","10","","","","","","","","","","","","","47","7.41","19.3","","","3.69","1.3","","0.78","","","","","2.19","0.35","2.3","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","101844",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.33014","13.33014","144.64947","144.64947","SAE","","","s_GM-1 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004188","0.0000245","","","","","","","","","","","","","","","","","","","","","","","","0.4984","","859","","","","","","","","1072623",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.32653","13.32653","144.65222","144.65222","SAE","","","s_GM-6 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000831","0.0000489","","","","","","","","","","","","","","","","","","","","","","","","0.2148","","82.9","","","","","","","","1072624",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.35228","13.35228","144.64428","144.64428","SAE","","","s_GM-11 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00082","0.0000502","","","","","","","","","","","","","","","","","","","","","","","","0.1945","","79.4","","","","","","","","1072625",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.3415","13.3415","144.6358","144.6358","SAE","","","s_GM-15 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000387","0.000155","","","","","","","","","","","","","","","","","","","","","","","","0.1372","","12.1","","","","","","","","1072626",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.340703","13.340703","144.642561","144.642561","SAE","","","s_GM-16 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000614","0.0000493","","","","","","","","","","","","","","","","","","","","","","","","0.1672","","60.3","","","","","","","","1072627",
"[20727]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - CENTRAL ISLAND PROVINCE / ANATAHAN / ANATAHAN","","16.37","16.37","145.63","145.63","SAE","","","s_ANAT9 [20727]","NOT GIVEN [20727]","","","","","","","","","VOL","","","","","WR [20727] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1113771",
"[2397][2405]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - CENTRAL ISLAND PROVINCE / AGRIGAN / AGRIGAN","SSE COAST","18.73","18.73","145.65","145.65","SAE","","","s_9-1A [2397]","BASALT [2397]","","","","","","","","","VOL","","","","","WR [2397] ","48.7","0.49","","20","","3.63","5.2","","13.32","6.19","0.16","","0.37","1.57","0.12","","0.08","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3070","","","","","28","","","","26","75","","","","","","","6.29","303","","45","","","","","","","","","","","","","","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117424",
"[2397][2405]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - CENTRAL ISLAND PROVINCE / AGRIGAN / AGRIGAN","W COAST","18.73","18.73","145.65","145.65","SAE","","","s_1-3 [2397]","BASALT [2397]","","","","","","","","","VOL","","","","","WR [2397] ","50.9","0.8","","16.6","","2.99","8.33","","10.46","5.1","0.22","","0.73","2.57","0.17","","0.13","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6060","","","","","14","","","","13","121","","","","","","","12.97","328","","51","","","","","","","","","","","","","","144","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","","","","","","","","","","","","","","","","","","","","","","","","117425",
