"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4624][18510]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 162","","-16.4007","-16.4007","177.4109","177.4109","SAQ","","","s_162/1 [4624] / s_162-1 [18510]","BASALT [4624] / NOT GIVEN [18510]","","","","","","","","","VOL","","","","","GL [4624] ","50.04","0.75","","16.38","","","","8.56","13.16","9.16","0.16","","0.05","1.94","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349","","35","","209","430","","","","133","","","","","","","","1.1","59","24","26.5","1.07","","","","","","","","","","","","0.04","9.5","1.19","3.14","0.53","3.23","1.58","0.68","2.57","0.52","3.57","0.78","2.27","0.32","2.03","0.32","0.9","0.08","","","","","","","","","0.14","","0.1","0.02","0.513228","","","0.702879","","18.2692","","15.4896","","38.0941","","","","","","","","0.28351","","9.19","","","","","100179",
"[4624][18510]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 231","","-14.4693","-14.4693","177.6007","177.6007","SAQ","","","s_231/1 [4624] / s_231-1A [18510]","BASALT [4624] / NOT GIVEN [18510]","","","","","","","","","VOL","","","","","GL [4624] ","50.34","2.49","","12.48","","","","16.24","9.47","5.03","0.29","","0.19","3.05","0.21","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","329","38","","","","35","","","","","","","","3.8","115","94.9","238","5.97","","","","","","","","","","","","0.06","28.3","8.64","24.3","3.9","21.6","8.46","2.72","11.51","2.18","14.38","3.08","8.81","1.28","8.21","1.3","6.26","0.44","","","","","","","","","1.05","","0.58","0.15","0.513037","","","0.7033","","18.3777","","15.5077","","38.2666","","","","","","","","0.283238","","1.48","","","","","100182",
"[4624][18510]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 140","","-16.4082","-16.4082","177.4416","177.4416","SAQ","","","s_140/1 [4624] / s_140-1A [18510]","BASALT [4624] / NOT GIVEN [18510]","","","","","","","","","VOL","","","","","GL [4624] ","55.23","1.76","","14.34","","","","10.89","7.92","3.65","0.21","","0.34","3.56","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2951","","29","","229","59","","","","30","","","","","","","","8.3","134","63.8","191.4","4.94","","","","","","","","","","","","0.17","63.4","9.21","21.6","3.07","15.9","5.7","1.91","7.72","1.45","9.55","2.05","5.92","0.87","5.4","0.85","4.79","0.41","","","","","","","","","1.34","","1.34","0.4","0.513133","","","0.703512","","18.5221","","15.5302","","38.3955","","","","","","","","0.283324","","1.66","","","","","100186",
"[4624][18510]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 142","","-16.32","-16.32","177.42","177.42","SAQ","","","s_142/1 [4624] / s_142-1 [18510]","BASALT [4624] / NOT GIVEN [18510]","","","","","","","","","VOL","","","","","GL [4624] ","50.12","1.61","","15.86","","","","9.47","11.39","7.53","0.16","","0.3","2.78","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2611","","39","","263","304","","","","100","","","","","","","","8.2","171","40.2","119.7","9.4","","","","","","","","","","","","0.1","75.5","8.87","19","2.55","12.4","4","1.46","5.18","0.95","6.18","1.3","3.7","0.52","3.34","0.52","2.88","0.64","","","","","","","","","0.82","","1.03","0.18","0.513086","","","0.703024","","18.4446","","15.5298","","38.2873","","","","","","","","0.283321","","8.72","","","","","100187",
"[4624][18510]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / NORTH FIJI BASIN / DREDGE 164","","-16.4348","-16.4348","177.3824","177.3824","SAQ","","","s_164/1 [4624] / s_164-1 [18510]","BASALT [4624] / NOT GIVEN [18510]","","","","","","","","","VOL","","","","","GL [4624] ","53.84","1.75","","14.69","","","","10.36","8.31","4.19","0.2","","0.57","3.61","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4213","","32","","213","110","","","","59","","","","","","","","8.1","183","53","160","9.59","","","","","","","","","","","","0.16","114","11.9","24.7","3.29","15.8","5.11","1.76","6.6","1.2","7.86","1.71","4.81","0.69","4.36","0.7","3.92","0.64","","","","","","","","","1.44","","1.04","0.31","0.513069","","","0.703663","","18.6439","","15.5473","","38.4589","","","","","","","","","","2.29","","","","","100190",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, TUKASMERA","-19.52","-19.52","169.42","169.42","SAE","","","s_TUK-1 [19944]","BASALT [19944]","","","","","","","","","VOL","","","","","WR [19944] ","47.41","0.7","","13.51","","","","11.71","13.31","9.45","0.21","","0.64","1.56","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.07","4430.94","392.4","328.21","","","47.63","74.47","","63.82","12.83","","","","","7.08","390.98","10.12","19.71","0.26","","","","","","","","","","","","0.09","149.12","3.07","7.15","1.06","5.74","1.58","0.57","1.78","0.3","1.85","0.38","1.17","0.18","1.09","0.16","0.57","0.01","","","","","","","","","2.8","","0.39","0.22","","","","","","","","","","","","","","","","","","","","","","","","","1011887",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, TUKASMERA","-19.52","-19.52","169.42","169.42","SAE","","","s_TUK-2 [19944]","ANDESITE, BASALTIC [19944]","","","","","","","","","VOL","","","","","WR [19944] ","54.85","0.69","","17.6","","","","7.96","7.86","2.97","0.15","","2.33","3.41","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.67","4382.11","216.58","39.27","","","19.72","19.83","","72.47","16.78","","","","","27.76","565.74","21.92","83.54","1.1","","","","","","","","","","","","0.89","505.63","11.19","23.29","3.51","16.7","4.35","1.17","3.99","0.62","3.99","0.83","2.31","0.34","2.39","0.34","2.42","0.06","","","","","","","","","10.85","","1.68","0.91","","","","","","","","","","","","","","","","","","","","","","","","","1011888",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, TUKASMERA","-19.52","-19.52","169.42","169.42","SAE","","","s_TUK-3 [19944]","BASALT [19944]","","","","","","","","","VOL","","","","","WR [19944] ","47.02","0.78","","14.26","","","","10.66","13.51","10.19","0.19","","0.43","1.54","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","4903.14","367.71","377.46","","","46.45","79.06","","56.76","12.95","","","","","4.69","314.13","10.07","17.35","0.25","","","","","","","","","","","","0.09","94.51","2.08","5.19","0.81","4.38","1.43","0.57","1.71","0.31","1.99","0.42","1.2","0.16","1.08","0.17","0.58","0.01","","","","","","","","","1.76","","0.24","0.13","","","","","","","","","","","","","","","","","","","","","","","","","1011889",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, WAESISI","-19.52","-19.52","169.42","169.42","SAE","","","s_WAEC [19944]","BASALT [19944]","","","","","","","","","VOL","","","","","WR [19944] ","46.32","0.85","","17.98","","","","13.07","10.85","6.42","0.22","","0.48","1.98","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.63","5298.66","435.53","66.56","","","43.21","34.29","","81.69","18.15","","","","","3.2","663.3","21.23","36.92","0.45","","","","","","","","","","","","0.1","178.12","7.25","13.51","2.56","13.41","3.78","1.23","4.01","0.58","3.7","0.74","2.2","0.29","2","0.29","1.23","0.03","","","","","","","","","3.3","","0.58","0.13","","","","","","","","","","","","","","","","","","","","","","","","","1011890",
"[19944]","CONVERGENT MARGIN","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / SOUTHERN NEW HEBRIDES ARC / TANNA (=TANUA) / YASUR(=YASOWA)","YENKAHE CALDERA, SE TANNA, WAESISI","-19.52","-19.52","169.42","169.42","SAE","","","s_WAEL [19944]","BASALT [19944]","","","","","","","","","VOL","","","","","WR [19944] ","47.53","0.83","","16.62","","","","12.34","11.1","6.26","0.22","","0.93","2.33","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.44","5198.72","396.41","55.03","","","39.22","25.22","","80.09","16.88","","","","","10.11","862.75","16.07","40.36","0.51","","","","","","","","","","","","0.27","193.01","7.57","16.34","2.46","12.74","3.36","1.04","3.36","0.51","3.13","0.62","1.75","0.25","1.68","0.24","1.29","0.03","","","","","","","","","4.33","","0.72","0.32","","","","","","","","","","","","","","","","","","","","","","","","","1011891",
