"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.47405","37.47405","-120.13163","-120.13163","SAE","","","s_BRGIC 3  [22484]","MELADIORITE [22484]","","","","JURASSIC [22484]","","","","","PLU","","","","","WR [22484] ","51.76","1.848","","14.74","","","","9.28","9.35","5.32","0.184","","0.61","3.94","0.25","","","","","","","","","","","","","","","","1.59","","","","","","","","","","","","","","","1","","","","","","","","","","","","","32","","241","50","","","27","0","20","90","20","1.9","0","","","7","223","36.3","122","6.7","0","","","","0.9","","0.1","2","0.9","","","0.3","272","13.3","31.4","4.29","19.1","4.93","1.64","6.03","0.99","6.12","1.2","3.55","0.512","3.35","0.514","3.3","0.71","1.9","","","","","","","0.12","0","0","0.75","0.23","","","","","","","","","","","","","","","","","","","","","","","","","1420647",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.42857","37.42857","-120.16772","-120.16772","SAE","","","s_BRGIC 13  [22484]","GABBRO [22484]","","","","JURASSIC [22484]","","","","","PLU","","","","","WR [22484] ","51.04","1.348","","14.23","","","","9.01","11.08","7.2","0.155","","0.47","3.09","0.1","","","","","","","","","","","","","","","","2.18","","","","","","","","","","","","","","","0","","","","","","","","","","","","","36","","257","170","","","32","40","60","60","16","1.7","0","","","10","111","31.4","95","3","0","","","","0.6","","0.1","2","1","","","0.3","85","5.5","14","2.14","11.3","3.66","1.36","4.57","0.84","5.41","1.07","3.17","0.441","3.07","0.455","3.1","0.42","2.1","","","","","","","0.06","6","0.1","1.1","0.39","","","","","","","","","","","","","","","","","","","","","","","","","1420648",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.4022","37.4022","-120.02197","-120.02197","SAE","","","s_BRGIC 2  [22484]","GRANITE [22484]","","","","JURASSIC [22484]","","","","","PLU","","","","","WR [22484] ","71.75","0.302","","13.26","","","","3.16","1.01","0.65","0.034","","3.08","3.89","0.05","","","","","","","","","","","","","","","","1.42","","","","","","","","","","","","","","","2","","","","","","","","","","","","","4","","22","30","","","6","0","20","30","16","1.4","0","","","48","97","34.7","232","4.7","0","","","","0.9","","0","3","0.8","","","0.4","1887","34.8","68","7.72","28","6.07","1.17","5.71","0.95","5.76","1.17","3.36","0.529","3.63","0.55","6.9","0.82","3.5","","","","","","","0.18","0","0.1","12","3.67","","","","","","","","","","","","","","","","","","","","","","","","","1420649",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.40938","37.40938","-120.11898","-120.11898","SAE","","","s_BRGIC 10D [22484]","GABBRO [22484]","","","","JURASSIC [22484]","","","","","PLU","","","","","WR [22484] ","49.92","1.115","","16.41","","","","7.7","11.48","8.34","0.149","","0.3","2.56","0.14","","","","","","","","","","","","","","","","0.99","","","","","","","","","","","","","","","0","","","","","","","","","","","","","31","","206","310","","","39","90","60","60","15","1.5","0","","","4","216","21.4","97","3.8","0","","","","0.5","","0","0","0.8","","","0.2","97","6.01","14.9","2.09","10.2","2.83","1.07","3.59","0.6","3.71","0.74","2.21","0.33","2.15","0.314","2.8","0.48","2.3","","","","","","","0","0","0","0.72","0.31","","","","","","","","","","","","","","","","","","","","","","","","","1420650",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.40938","37.40938","-120.11898","-120.11898","SAE","","","s_BRGIC 10  [22484]","NOT GIVEN [22484]","","","","JURASSIC [22484]","","","","","PLU","","","","","WR [22484] ","66.68","0.358","","16.81","","","","2.38","4.54","1.18","0.037","","1.77","4.74","0.1","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","2","","","","","","","","","","","","","6","","36","30","","","7","0","0","30","21","1.2","0","","","73","163","19","349","6.1","0","","","","1.3","","0","3","0.9","","","3.1","682","14.5","28.2","3.16","12.1","2.86","1.06","3.09","0.49","2.99","0.61","1.88","0.295","2.05","0.321","9","0.72","2.1","","","","","","","0.45","7","0","7.16","1.52","","","","","","","","","","","","","","","","","","","","","","","","","1420651",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.47468","37.47468","-120.0375","-120.0375","SAE","","","s_BRGIC 5 [22484]","RHYOLITE [22484]","","","","JURASSIC [22484]","","","","","VOL","","","","","WR [22484] ","77.02","0.4","","13.8","","","","0.63","0.07","0.38","0.01","","0.45","6.74","0.024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","20","5.1","41","2","","","","","","","","","","","","0.02","16","1.2","2.4","0.39","1.8","0.41","0.06","0.51","0.08","0.6","0.14","0.44","0.07","0.43","0.08","0.96","0.1","","","","","","","","","0.03","","1.2","0.21","","","","","","","","","","","","","","","","","","","","","","","","","1420652",
"[22484]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / WESTERN METAMORPHIC BELT / CALIFORNIA / GUADALUPE IGNEOUS COMPLEX","","37.40177","37.40177","-120.02127","-120.02127","SAE","","","s_BRGIC6 [22484]","BASALT [22484]","","","","JURASSIC [22484]","","","","","VOL","","","","","WR [22484] ","50.9","1.45","","15.75","","","","8.58","11.05","7.03","0.15","","0.53","2.97","0.135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","212","26.7","100","3","","","","","","","","","","","","0.71","53","5.2","11.8","1.94","9.7","2.91","1","3.63","0.59","4.1","0.82","2.46","0.35","2.23","0.31","2.05","0.2","","","","","","","","","1.35","","0.4","0.19","","","","","","","","","","","","","","","","","","","","","","","","","1420653",
"[23289]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / SIERRA NEVADA BATHOLITH / CALIFORNIA / FISHER LAKE PLUTON","","39.2822","39.2822","-120.4744","-120.4744","SAE","","","s_AM105 [23289]","GABBRO [23289]","","","LOWER [23289]","CRETACEOUS [23289]","","","","","PLU","","","","","WR [23289] ","46.23","1.05","","15.43","","","","10.26","11.34","10.95","0.19","","0.31","1.69","0.19","","","","","","","","","","","","","","","","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8","","301","256.1","","","48.2","64.5","50.2","115.8","","","","","","3.18","421","23.5","38.9","3.98","4.66","","","","","","","","","","","0.12","94.8","7.68","22.4","3.69","18.11","4.57","1.14","4.43","0.65","4.3","0.85","2.34","0.35","2.24","0.3","1.46","0.19","0.22","","","","","","","","2.51","","0.27","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1629065",
"[23289]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / SIERRA NEVADA BATHOLITH / CALIFORNIA / FISHER LAKE PLUTON","","39.2822","39.2822","-120.4744","-120.4744","SAE","","","s_AM111 [23289]","GABBRO [23289]","","","LOWER [23289]","CRETACEOUS [23289]","","","","","PLU","","","","","WR [23289] ","44.11","1.32","","20.1","","","","9.51","12.22","7.89","0.14","","0.25","1.5","0.09","","","","","","","","","","","","","","","","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","","414.9","87.3","","","33.3","43.1","17","125.6","","","","","","4.16","545.8","17.3","30.8","2.92","4.28","","","","","","","","","","","0.19","90.3","5.05","13.2","2.1","11.02","3.1","0.95","3.34","0.5","3.31","0.65","1.67","0.23","1.54","0.22","1.02","0.14","0.29","","","","","","","","2.25","","0.25","0.07","","","","","","","","","","","","","","","","","","","","","","","","","1629066",
"[23289]","CONVERGENT MARGIN","SIERRA NEVADA MAGMATIC ARC / SIERRA NEVADA BATHOLITH / CALIFORNIA / FISHER LAKE PLUTON","","39.2867","39.2867","-120.4722","-120.4722","SAE","","","s_AM01 [23289]","DIORITE [23289]","","","LOWER [23289]","CRETACEOUS [23289]","","","","","PLU","","","","","WR [23289] ","46.3","1.16","","20.19","","","","9.89","11.23","6.5","0.19","","0.13","1.64","0.43","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8","","300.3","99.8","","","33.8","37","9.4","101.7","","","","","","2.17","994.5","10.7","14.8","2.18","1.04","","","","","","","","","","","0.17","126.9","7.09","16.3","2.28","10.6","2.62","0.96","2.56","0.34","2.21","0.43","1.1","0.14","0.99","0.14","0.56","0.12","0.22","","","","","","","","1.94","","0.33","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1629067",
