"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[8741][6348]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / PAPAYATO VOLCANICS","NORTHERN SULAWESI","0.8","0.8","121.3","121.3","SAE","","","s_NWS 74 [8741] / s_NWS74 [6348]","NOT GIVEN [8741]","","","","","","","","","VOL","","","","","WR [8741] ","45.2","0.65","","20.85","","","","8.01","9.82","5.77","0.16","","1.32","2.54","0.1","","","","","","","","","","","","","","","","4.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","235","26","","","37","16","95","67","16","0.8","","","","19","531","12","26","1.4","","","","","","","","","","","","0.05","130","3.36","7.77","0.95","5.14","1.6","0.62","1.9","0.32","2.14","0.44","1.4","0.21","1.27","0.2","0.79","0.08","","","","","","","","","5","","0.83","0.18","0.512874","","","0.704453","","17.246","","15.52","","37.255","","","","","","","","","","","","","","","101381",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / ULUBILA","","-5","-5","120","120","SAE","","","s_B350 [4941]","NOT GIVEN [4941]","","","","","","","","MICROCRYSTALLINE, PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","55.33","0.74","","16.1","","","","5.51","7.57","2.87","0.15","","4.77","4.11","0.47","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","118","54","","","6","","41","56","24","","","","","320","469","26","633","89","","","","","","","","","","","","6.1","581","102","179","15.9","54","9","1.8","5.8","1","5","0.9","2.9","0.44","2.8","0.43","14","4.51","","","","","","","","","64","","50","12","0.512478","","","0.70795","","18.796","","15.614","","38.766","","","","","","","","","","","","","","","115227",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / ULUBILA","","-5","-5","120","120","SAE","","","s_B469 [4941]","NOT GIVEN [4941]","","","","","","","","MICROCRYSTALLINE, PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","62.64","0.48","","17.93","","","","3.2","1.8","0.56","0.05","","5.65","5.14","0.15","","","","","","","","","","","","","","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","51","32","","","14","","25","51","22","","","","","173","923","26","361","38","","","","","","","","","","","","3.5","1470","74","139","12.6","47","8.6","2.14","5.9","1","4.9","0.9","2.7","0.39","2.4","0.37","8","2.46","","","","","","","","","42","","17","2.7","0.512664","","","0.705642","","18.696","","15.625","","38.774","","","","","","","","","","","","","","","115228",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / ULUBILA","","-5","-5","120","120","SAE","","","s_B472 [4941]","NOT GIVEN [4941]","","","","","","","","MICROCRYSTALLINE, PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","55.08","1.11","","19.33","","","","5.37","4.97","1.83","0.22","","4.39","3.55","0.34","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","117","53","","","4","","11","25","21","","","","","221","725","72","418","50","","","","","","","","","","","","2.8","1330","77","157","14.2","56","12","2.7","11","1.9","10","2","6.1","0.9","5.6","0.89","9.7","2.73","","","","","","","","","48","","21","5.6","0.512728","","","0.705156","","18.61","","15.57","","38.541","","","","","","","","","","","","","","","115229",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / BILA","","-5","-5","120","120","SAE","","","s_B328 [4941]","TEPHRITE [4941]","","","","","","","","APHANITIC, PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","42.28","1.51","","16.51","","","","9.67","12.94","4.88","0.24","","5.74","1.24","1.32","","","","","","","","","","","","","","","","2.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","608","38","","","39","14","662","119","21","","","","","255","2041","49","99","8","","","","","","","","","","","","9.9","2276","53","110.8","13.17","63.8","15","4.6","12.3","1.8","8.9","1.6","4.8","0.6","3.8","0.55","3.1","1.11","","","","","","","","","84","","29.4","10","0.512635","","","0.706213","","18.915","","15.629","","38.967","","","","","","","","","","","","","","","115230",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / BILA","","-5","-5","120","120","SAE","","","s_B342 [4941]","TEPHRITE [4941]","","","","","","","","APHANITIC, PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","42.52","1.47","","16.63","","","","9.67","13.09","4.73","0.25","","5.81","1.61","1.31","","","","","","","","","","","","","","","","2.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","616","35","","","39","20","686","128","22","","","","","248","2149","46","81","8","","","","","","","","","","","","10","2299","54","111.4","12.89","63.2","14.8","4.6","11.9","1.7","8.8","1.6","4.7","0.57","3.6","0.53","2.7","1.11","","","","","","","","","103","","28.9","9.9","0.512629","","","0.706226","","18.964","","15.603","","38.933","","","","","","","","","","","","","","","115231",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU","","-5","-5","120","120","SAE","","","s_B74 [4941]","ANDESITE, BASALTIC [4941]","","","","","","","","PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","50.33","1.02","","16.88","","","","8.63","8.73","4.39","0.14","","2.17","3.18","0.52","","","","","","","","","","","","","","","","1.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","232","37","","","29","17","178","68","20","","","","","56","895","19","106","3.9","","","","","","","","","","","","3.3","952","27","52.1","5.36","27.3","5.5","1.6","4.8","0.7","3.8","0.7","1.9","0.26","1.8","0.26","3.1","0.3","","","","","","","","","12","","8.4","2.4","0.512678","","","0.706131","","19.125","","15.629","","39.039","","","","","","","","","","","","","","","115232",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU","","-5","-5","120","120","SAE","","","s_B475 [4941]","ANDESITE, BASALTIC [4941]","","","","","","","","PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","59.57","0.77","","15.44","","","","5.51","5.59","3.39","0.1","","2.99","2.87","0.18","","","","","","","","","","","","","","","","1.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","136","87","","","26","32","80","54","18","","","","","90","693","37","155","6","","","","","","","","","","","","8.8","1030","54","79","9.96","41","8.9","1.9","8.1","1.3","6.8","1.3","3.7","0.52","3.2","0.5","4.3","0.4","","","","","","","","","36","","11","2.1","0.512489","","","0.708467","","19.178","","15.624","","39.014","","","","","","","","","","","","","","","115233",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / KAHU","","-5","-5","120","120","SAE","","","s_B485 [4941]","ANDESITE, BASALTIC [4941]","","","","","","","","PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","49.99","1.11","","16.07","","","","9.15","10.29","4.5","0.17","","2.52","2.91","0.31","","","","","","","","","","","","","","","","1.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512672","","","0.705479","","18.817","","15.616","","38.799","","","","","","","","","","","","","","","115234",
"[4941]","CONVERGENT MARGIN","SULAWESI ARC / SULAWESI ARC / SULAWESI / LEMO","","-5","-5","120","120","SAE","","","s_B48 [4941]","ANDESITE [4941]","","","","","","","","PORPHYRITIC [4941] ","VOL","","","","","WR [4941] ","57.96","0.78","","15.78","","","","5.89","5.82","3.27","0.16","","4.08","3.23","0.44","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","144","85","","","22","18","64","53","19","","","","","136","771","25","171","7.7","","","","","","","","","","","","3.1","977","38.9","73.5","7.04","34.7","6.4","1.52","5.7","0.8","4.3","0.8","2.5","0.35","2.3","0.37","5","0.59","","","","","","","","","7","","15.3","4.1","0.512573","","","0.707173","","18.916","","15.606","","38.843","","","","","","","","","","","","","","","115235",
