"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6407][10898]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-1-1 [6407]","BASALT [6407] / NOT GIVEN [10898]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] / WR [10898] ","51.3","1.64","","13.79","","","","12.26","10.98","6.67","0.23","","0.08","2.55","0.11","","","","","","","","","","","","","","","","-0.27","","","","","","","","","","","","","","8","","","","","","","","","","","","","","45","","481","154","","","46","61","99","111","","","","","","1.36","80","41.7","87","1.32","","","","","","","","","","","","","12.8","2.78","9.23","1.94","10.15","3.67","1.36","4.93","0.96","6.79","1.47","4.46","0.69","4.51","0.7","2.46","0.1","","","","","","","","","1","","0.11","0.06","0.513144","","","0.703292","","18.091","","15.545","","37.999","","","","","","","","","","","","","","","100306",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-1-2 [6407]","BASALT [6407]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] ","51.2","1.59","","13.86","","","","12.07","10.94","6.73","0.23","","0.12","2.54","0.11","","","","","","","","","","","","","","","","-0.25","","","","","","","","","","","","","","7","","","","","","","","","","","","","","38","","443","153","","","42","62","98","109","","","","","","0","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100307",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-2-1 [6407]","BASALT [6407]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] ","51.5","1.65","","13.86","","","","12.27","11","6.58","0.22","","0.11","2.58","0.11","","","","","","","","","","","","","","","","-0.27","","","","","","","","","","","","","","7","","","","","","","","","","","","","","44","","468","151","","","45","58","96","112","","","","","","0","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100308",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-2-2 [6407]","BASALT [6407]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] ","50.8","1.68","","14.02","","","","12.14","11.01","6.75","0.22","","0.09","2.56","0.12","","","","","","","","","","","","","","","","-0.44","","","","","","","","","","","","","","7","","","","","","","","","","","","","","41","","435","147","","","42","57","116","110","","","","","","0","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100309",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-3-3 [6407]","BASALT [6407]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] ","50.1","1.62","","14.08","","","","12.07","11.08","6.71","0.22","","0.1","2.55","0.11","","","","","","","","","","","","","","","","-0.34","","","","","","","","","","","","","","7","","","","","","","","","","","","","","43","","444","158","","","44","62","109","114","","","","","","2","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100310",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-4-3 [6407]","BASALT [6407]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] ","51.1","1.65","","13.76","","","","12.08","11.02","6.68","0.21","","0.1","2.56","0.12","","","","","","","","","","","","","","","","-0.15","","","","","","","","","","","","","","7","","","","","","","","","","","","","","45","","469","159","","","42","57","101","111","","","","","","0","74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100311",
"[6407][10898]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","","-18.9217","-18.9217","-176.5533","-176.5533","SAQ","-2320","-2370","s_12-5-3 [6407]","BASALT [6407] / NOT GIVEN [10898]","","","","","","","","GLASSY, APHYRIC TO SPARSELY PLAGIOCLASE-PHYRIC [6407] ","VOL","","","","","GL [6407] / WR [10898] ","58.9","1.57","","12.67","","","","11.29","6.42","2.63","0.2","","0.3","4.24","0.34","","","","","","","","","","","","","","","","1.19","","","","","","","","","","","","","","22","","","","","","","","","","","","","","24","","224","17","","","25","10","47","128","","","","","","6.66","89","142.3","505","6.1","","","","","","","","","","","","","49.8","14.91","47.37","7.82","41.57","13.95","3.01","17.15","3.16","22.03","4.77","13.83","2.2","14.93","2.38","13.78","0.23","","","","","","","","","1.61","","1.13","0.44","0.51313","","","0.703329","","18.156","","15.474","","37.948","","","","","","","","","","","","","","","100313",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","DREDGE 14","-18.9733","-18.9733","-176.53","-176.53","SAQ","-2200","-2250","s_14-1-2 [6407]","BASALT [6407]","","","","","","","","VESICULAR, MODERATELY OLIVINE- AND PLAGIOCLASE-PHYRIC [6407] ","VOL","","","M","","GL [6407] ","50.1","0.84","","16.09","","","","8.32","12.47","8.76","0.15","","0.13","2.29","0.07","","","","","","","","","","","","","","","","0.33","","","","","","","","","","","","","","4","","","","","","","","","","","","","","38","","248","460","","","40","139","107","77","","","","","","2","166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100314",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","DREDGE 14","-18.9733","-18.9733","-176.53","-176.53","SAQ","-2200","-2250","s_14-1-4 [6407]","BASALT [6407]","","","","","","","","VESICULAR, MODERATELY OLIVINE- AND PLAGIOCLASE-PHYRIC [6407] ","VOL","","","M","","GL [6407] ","49.8","0.85","","16.38","","","","8.38","12.41","8.62","0.15","","0.14","2.21","0.06","","","","","","","","","","","","","","","","0.41","","","","","","","","","","","","","","7","","","","","","","","","","","","","","40","","263","440","","","42","132","122","79","","","","","","3","165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100315",
"[6407]","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER","DREDGE 14","-18.9733","-18.9733","-176.53","-176.53","SAQ","-2200","-2250","s_14-2-1 [6407]","BASALT [6407]","","","","","","","","VESICULAR, MODERATELY OLIVINE- AND PLAGIOCLASE-PHYRIC [6407] ","VOL","","","M","","GL [6407] ","50.8","0.86","","15.85","","","","8.74","11.96","8.43","0.16","","0.11","2.37","0.07","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","6","","","","","","","","","","","","","","38","","260","390","","","39","124","113","81","","","","","","3","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100316",
