"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6004][7221]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SAE","","","s_85147 [6004]","DACITE [6004]","","","","ARCHEAN [6004]","","","","","VOL","","","","","WR [6004] ","65.08","0.44","","16.22","","1.44","2.85","","4.62","2.6","0.05","","1.12","4.08","0.15","","","","","","","","","","","","","","","","1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","30","","","10","70","","","","","","","","40","240","20","150","5","","","","","","","","","","","","","415","","","","20.58","3.383","","","","","","","","","","","","","","","","","","","","","","","","0.510846","","","","","","","","","","","","","","","","","","","","","","","","125326",
"[6004][7221]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT","OLEKMA RIVER NEAR THE TIREKH-MASTAKH RAPIDS, OLEKMA BLOCK","57.03","57.03","120.72","120.72","SAE","","","s_86221/9 [6004]","ANDESITE [6004]","","","","ARCHEAN [6004]","","","","","VOL","","","","","WR [6004] ","62.22","0.7","","14.62","","2.21","3.81","","6.67","3.62","0.1","","1.04","3.62","0.179","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","55","","","15","25","","","","","","","","25","340","20","165","20","","","","","","","","","","","","","265","","","","24.84","4.396","","","","","","","","","","","","","","","","","","","","","","","","0.510989","","","","","","","","","","","","","","","","","","","","","","","","125327",
"[6004][7221]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS","FLANKS OF NORTHERN BRANCH OF OLONDO GREENSTONE BELT","57.03","57.03","120.72","120.72","SAE","","","s_86231/1 [6004]","BASALT [6004] / BASALT, THOLEIITIC [7221]","","","","ARCHEAN [6004]","","","","","VOL","","","","","WR [6004] ","48.46","1.87","","12.93","","","","16.13","10.59","4.89","0.2","","0.27","2.65","0.2","","","","","","","","","","","","","","","","1.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","605","15","","","59","16","","","","","","","","1","139","19","56","3","","","","","","","","","","","","","115","3.68","8.91","","7.618","1.8","0.7","2.25","","2.49","","1.47","","1.38","","","","","","","","","","","","","","","","0.512453","","","","","18.874","","15.731","","37.847","","","","","","","","","","","","","","","125328",
"[7221][6004]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / WESTERN KOMATIITES","FLANKS OF THE WESTERN BRANCH OF OLONDO GREENSTONE BELT","57.03","57.03","120.72","120.72","SAE","","","s_8550 [7221]","KOMATIITE [7221]","","","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","49.1","0.53","","8.28","","0.88","9.19","12.8","9.27","18.8","0.2","","0.08","0.89","0.18","","","","","","","","","","","","","","","","3.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","2214","","","79","789","","","","","","","","1","10","9","41","1","","","","","","","","","","","","","90","2.38","1.98","","4.24","1.092","0.232","1.06","","1.33","","0.857","","0.828","0.145","","","","","","","","","","","","","","","0.511894","","","","","","","","","","","","","","","","","","","","","","","","125333",
"[7221][6004][9427]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / WESTERN KOMATIITES","FLANKS OF THE WESTERN BRANCH OF OLONDO GREENSTONE BELT","57.03","57.03","120.72","120.72","SAE","","","s_8551 [7221]","KOMATIITE [7221]","3000000000 [9427]","3000000000 [9427]","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","50.2","0.32","","7.29","","2.71","7.93","10.4","9.37","21.7","0.18","","0.04","0.38","0.09","","","","","","","","","","","","","","","","4.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","2528","","","85","1095","","","","","","","","1","12","6","20","2","","","","","","","","","","","","","100","0.456","1.41","","1.24","0.4922","0.361","0.716","","0.931","","0.626","","0.634","0.099","","0.025","","","","","","","","","","","0.102","0.033","0.513029","","","","","","","","","","","","","","","","","","","","","","","","125334",
"[7221][6004][9427]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / WESTERN KOMATIITES","FLANKS OF THE WESTERN BRANCH OF OLONDO GREENSTONE BELT","57.03","57.03","120.72","120.72","SAE","","","s_8569 [7221]","KOMATIITE [7221]","3000000000 [9427]","3000000000 [9427]","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","47.3","0.29","","7.2","","2.74","6.25","10.9","6.51","27.4","0.18","","0.02","0.1","0.09","","","","","","","","","","","","","","","","7.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","3519","","","93","1210","","","","","","","","1","17","7","13","0","","","","","","","","","","","","","90","0.347","1.23","","1.21","0.5145","0.124","0.678","","0.907","","0.611","","0.621","0.097","","0.019","","","","","","","","","","","0.091","0.03","0.513309","","","","","","","","","","","","","","","","","","","","","","","","125335",
"[7221][9427]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS","KOMATIITOVYI CREEK VALLEY","57.03","57.03","120.72","120.72","SAE","","","s_8707/2 [7221] / s_07/2 [9427]","BASALT, KOMATIITIC [7221]","3000000000 [9427]","3000000000 [9427]","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","49","0.79","","7.96","","","","13.5","12.2","15.1","0.21","","0.12","0.98","0.24","","","","","","","","","","","","","","","","2.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","1692","","","80","518","","","","","","","","1","27","15","47","2.4","","","","","","","","","","","","","","3.29","8.89","","6.271","2.19","0.805","2.68","","2.81","","1.61","","1.42","","","0.148","","","","","","","","","","","0.349","0.114","0.512577","","","","","17.009","","15.152","","35.02","","","","","","","","","","","","","","","131001",
"[7221][9427]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS","KOMATIITOVYI CREEK VALLEY","57.03","57.03","120.72","120.72","SAE","","","s_8707/6 [7221] / s_07/6 [9427]","BASALT, KOMATIITIC [7221]","3000000000 [9427]","3000000000 [9427]","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","50.2","0.79","","8.04","","","","12.4","12.6","14.5","0.19","","0.14","0.94","0.23","","","","","","","","","","","","","","","","2.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","1249","","","70","370","","","","","","","","2","74","14","45","2.6","","","","","","","","","","","","","","2.73","7.65","","6.16","2.01","0.733","2.47","","2.6","","1.46","","1.3","","","0.143","","","","","","","","","","","0.326","0.107","0.512638","","","","","15.911","","15.017","","35.113","","","","","","","","","","","","","","","131005",
"[7221][9427]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS","KOMATIITOVYI CREEK VALLEY","57.03","57.03","120.72","120.72","SAE","","","s_8707/9 [7221] / s_07/9 [9427]","BASALT, KOMATIITIC [7221]","3000000000 [9427]","3000000000 [9427]","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","50","0.75","","7.6","","","","11.9","12.5","13.8","0.19","","0.14","0.28","0.23","","","","","","","","","","","","","","","","2.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","1320","","","70","397","","","","","","","","1","84","13","43","2.2","","","","","","","","","","","","","","2.64","7.12","","5.686","1.775","0.667","2.21","","2.31","","1.28","","1.14","","","0.128","","","","","","","","","","","0.281","0.092","0.512584","","","","","16.187","","14.997","","35.216","","","","","","","","","","","","","","","131009",
"[7221][9427]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","ALDAN SHIELD - ARCHEAN / TOKKO-KHANI GREENSTONE BELT / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS","KOMATIITOVYI CREEK VALLEY","57.03","57.03","120.72","120.72","SAE","","","s_8707/16 [7221] / s_07/16 [9427]","BASALT, KOMATIITIC [7221]","3000000000 [9427]","3000000000 [9427]","","ARCHEAN [7221]","","","","","VOL","","","","","WR [7221] ","48.6","0.74","","7.65","","","","13","12.8","13.8","0.2","","0.11","0.58","0.17","","","","","","","","","","","","","","","","1.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175","1207","","","67","356","","","","","","","","1","32","14","46","2.9","","","","","","","","","","","","","","3.14","8.31","","6.15","1.77","0.706","2.04","","2.04","","1.15","","1.01","","","0.134","","","","","","","","","","","0.325","0.106","0.512478","","","","","16.885","","15.192","","36.162","","","","","","","","","","","","","","","131014",
