"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_BGS-8 [22018]","PYROXENITE [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","CUMULATE [22018] ","PLU","","","","","WR [22018] ","40.33","0.65","","10.8","","","","6.71","14.38","23.55","0.11","","0.15","0.86","0.08","","","","","","","","","","","","","","","","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.97","3896.75","2021.81","3110","","","96","536","59","75","145.55","","","","","7.96","123.56","33.49","9.91","0.32","","","","","","","","","","","","0.82","216.44","12.07","27.35","4.08","15.92","4.62","1.49","4.83","0.88","5.4","1.19","3.43","0.51","3.2","0.48","0.36","0.05","","","","","","","","","223.47","","0.5","0.52","","","","","","","","","","","","","","","","","","","","","","","","","1327303",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_BGUM2 [22018]","PYROXENITE [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","CUMULATE [22018] ","PLU","","","","","WR [22018] ","53.1","0.66","","8.88","","","","7.12","0.55","18.67","0.11","","0.19","0.33","0.08","","","","","","","","","","","","","","","","8.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.78","3956.7","774.04","1262.33","","","46.22","320.59","32.1455283","141.5017602","86.10020584","","","","","22.36","11.82","25.07","20.23","0.49","","","","","","","","","","","","6.1","87.77","18.43","37.16","5.78","21.72","5.46","0.86","5.36","0.97","6.03","1.34","3.89","0.59","3.68","0.57","0.86","0.09","","","","","","","","","234.0819157","","1.82","1.44","","","","","","","","","","","","","","","","","","","","","","","","","1327304",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_SSA2 [22018]","PYROXENITE [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","CUMULATE [22018] ","PLU","","","","","WR [22018] ","43.02","0.55","","4.51","","","","7.34","15.72","23.58","0.16","","0.23","0.74","0.07","","","","","","","","","","","","","","","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","228.38","3297.25","1613.25","14290","","","131","850","53","135","105.45","","","","","18.32","54.22","21.27","14.51","0.37","","","","","","","","","","","","0.4","424.95","12.91","28.85","4.74","19.07","5.37","1.55","4.23","0.69","3.86","0.77","2.14","0.31","1.94","0.3","0.47","0.1","","","","","","","","","257.03","","0.5","0.24","","","","","","","","","","","","","","","","","","","","","","","","","1327305",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_SSA3 [22018]","PYROXENITE [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","CUMULATE [22018] ","PLU","","","","","WR [22018] ","43.62","0.53","","4.52","","","","7.3","16.18","23.35","0.15","","0.23","0.56","0.06","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","346.23","3177.35","2290.32","22461","","","168","1215","51","149","144.03","","","","","10.2","39.97","26.56","15.57","0.37","","","","","","","","","","","","0.46","314.22","16.09","36.23","6.15","24.13","6.58","1.65","5.07","0.86","4.67","0.96","2.63","0.43","2.28","0.35","0.48","0.06","","","","","","","","","295.46","","0.54","0.69","","","","","","","","","","","","","","","","","","","","","","","","","1327306",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_BGS-7 [22018]","PYROXENITE [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","CUMULATE [22018] ","PLU","","","","","WR [22018] ","40.91","0.43","","8.13","","","","6.46","14.44","23.53","0.58","","1.46","0.39","0.09","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8426063342321","2577.85","973.737348883988","8893.91905555844","","","165.069720810282","2535.81295351922","34.4330286192568","191.577627720773","114.86115558351","","","","","145.104528229507","159.048065878272","26","25.8758343175347","0.627469013238557","","","","","","","","","","","","2.34057361297225","512.56204796045","28.7706970488668","54.9841260929978","7.87568200941132","28.1156646689292","5.76903155925361","1.36175529483468","4.64859530174016","0.73574934515414","4.25565386408463","0.902640413169787","2.67945775035132","0.41439937546224","2.58417396949043","0.399721530551923","0.754189170066744","9.70871620544962E-02","","","","","","","","","258.32031470457","","2.09080354880163","0.565712999672755","","","","","","","","","","","","","","","","","","","","","","","","","1327307",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_B27 [22018]","BASALT, KOMATIITIC [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","","VOL","","","","","WR [22018] ","39.85","0.73","","10.09","","","","8.89","11.61","22.62","0.18","","1.01","1.17","0.07","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.47","4376.35","148.14","476.75","","","71.29","446.97","19.60301649","66.4765915","8.574879589","","","","","80.03","5.49","42.79","9.68","12.6","","","","","","","","","","","","12.65","58.07","0.92","2.08","0.26","1.09","0.23","0.06","0.34","0.07","0.54","0.16","0.5","0.08","0.7","0.11","0.43","0.02","","","","","","","","","0.176466117","","0.55","0","","","","","","","","","","","","","","","","","","","","","","","","","1327308",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_B26 [22018]","BASALT, KOMATIITIC [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","","VOL","","","","","WR [22018] ","39.81","0.7","","11.71","","","","8.68","10.64","22.31","0.15","","1.34","1.07","0.07","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.59","4196.5","143.49","470.09","","","73.76","463.09","24.6084215","63.90466491","9.062543057","","","","","125.75","7.89","42.5","8.87","11.24","","","","","","","","","","","","23.18","50.5","0.94","2.08","0.26","1.08","0.23","0.05","0.34","0.07","0.55","0.16","0.49","0.08","0.7","0.11","0.39","0.01","","","","","","","","","0.191845691","","0.48","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1327309",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_B28 [22018]","BASALT, KOMATIITIC [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","","VOL","","","","","WR [22018] ","41.63","0.67","","11.24","","","","8.64","9.52","22.59","0.14","","0.21","1.41","0.07","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.95","4016.65","141.41","438.48","","","66.32","357.28","15.45394547","48.6346212","9.625867732","","","","","6.43","11.73","43.22","8.75","11.42","","","","","","","","","","","","4.05","60.16","1.06","2.25","0.28","1.14","0.23","0.05","0.35","0.07","0.55","0.16","0.5","0.08","0.69","0.11","0.38","0.01","","","","","","","","","0.108861404","","0.49","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1327310",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_B40 [22018]","BASALT, KOMATIITIC [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","","VOL","","","","","WR [22018] ","39.84","0.6","","12.01","","","","7.59","7.23","25.05","0.15","","0.82","2.42","0.07","","","","","","","","","","","","","","","","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.73","3597","140.09","518.67","","","42.79","220.89","8.527359806","67.80925055","9.228547641","","","","","53.26","11.95","41.31","13.48","11.54","","","","","","","","","","","","12.19","85.33","0.84","1.89","0.24","1.02","0.21","0.05","0.33","0.07","0.54","0.16","0.49","0.08","0.68","0.11","0.54","0.01","","","","","","","","","0.127659365","","0.44","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1327311",
"[22018]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","BUNDELKHAND CRATON / BUNDELKHAND GREENSTONE BELT / MAURANIPUR-BABINA GREENSTONE BELT / BARAGAON FORMATION","","25","25","79","79","SAE","","","s_B42 [22018]","BASALT, KOMATIITIC [22018]","","","NEO [22018]","ARCHEAN [22018]","","","","","VOL","","","","","WR [22018] ","40.01","0.62","","11.67","","","","7.2","8.62","24.54","0.13","","0.72","2.27","0.07","","","","","","","","","","","","","","","","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.76","3716.9","140.02","846.57","","","43.52","267.37","20.91763861","42.11178074","8.626647756","","","","","49.74","12.12","40.78","9.54","10.41","","","","","","","","","","","","9.46","83.18","0.88","1.92","0.25","1.04","0.22","0.04","0.34","0.07","0.54","0.16","0.49","0.08","0.67","0.1","0.42","0.01","","","","","","","","","0.132501913","","0.58","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1327312",
