"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 8 [23305]","ORTHOPYROXENITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","52.4632075372946","0.108118064284872","","5.3783756038404","0.452883891811185","9.72464818116047E-02","9.09537451529359","","3.8004767469278","26.6234580586387","0.192351217168182","9.91166270462387E-02","-1.17872025487716E-03","0.554046053057292","7.00040854417886E-03","","","","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","34","","","","23.9901215855321","","124.656810631548","3098.67925976074","","","87.1807186032227","778.868274111675","9","40.1079557768341","6.08508983324368","","","","","1.55097353969046","43.8123186273474","3.0759634057","7.81570122204621","0.303234170305677","","0.00387","0.00458","0.00811","","","","","","","","","39.332736","1.36079391891892","1.81362386511025","0.218069508196721","0.803756884343037","0.181446472019465","9.10659133709981E-02","0.220308300395257","4.15970873786408E-02","0.364110227874934","7.45104166666667E-02","0.269835348837209","4.72740524781341E-02","0.32","5.66978193146417E-02","0.172536676336511","1.91210191082803E-02","","","0.00041","0.00088","0.03007","0.00087","","","6.60011356466877","","0.245059322033898","0.062","","","","","","","","","","","","","","","","","","","","","","","","","1635694",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 10 [23305]","ORTHOPYROXENITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","52.1392529083189","0.196332772280325","","3.28844644688227","0.443841145488606","0.363468158900877","10.0287926195264","","3.38758174800252","27.4471175826883","0.198831553018438","0.109736747602452","4.50290488113056E-02","0.477726080707034","1.66245412372431E-02","","","","","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","61","","","","27.6238170777406","","161.926601337516","3036.80783755362","","","98.9794460461479","862.322233502538","15","46.9630048323327","6.09603066164605","","","","","6.59334997503744","26.0881888253569","5.07548263883536","22.4956152648836","1.10579394104804","","0.00424","0.00354","0.00244","","","","","","","","","53.785408","2.26515487753378","5.06201210549071","0.575744262295082","2.17368214004721","0.497482360097324","0.140738229755179","0.568537549407115","0.107543689320388","0.768453630100689","0.152459775641026","0.528512093023256","8.95189504373178E-02","0.604","0.103271028037383","0.568234562784915","8.65477707006369E-02","","","0.0005","0.00082","0.02444","0.00151","","","10.9553312302839","","0.927796610169492","0.282","","","","","","","","","","","","","","","","","","","","","","","","","1635695",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 12 [23305]","ORTHOPYROXENITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","51.308765042957","0.307242305280963","","6.71674694960481","0.3639168690157","0.681759038263328","9.73018322137434","","4.84825650438252","22.0075889841771","0.211562777219554","8.94289195347039E-02","0.137283501614744","1.39355046674908","0.038179577119292","","","","","","","","","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","94","","","","28.4411778006696","","157.612403308618","2489.95752484426","","","84.3637372270262","702.741308793456","32","43.2342861169838","9.10246253369272","","","","","7.70852425180599","105.488110405","7.77846394173459","43.9852065062908","1.84994038810554","","0.00316","0.00412","0.00389","","","","","","","","","123.464699512723","4.91636436458108","9.13061246840775","1.0989283887468","4.22355061349693","0.988822255639098","0.256165447897623","1.07548617704552","0.192692675159236","1.23613585688359","0.25370796875","0.782669687358405","0.131380813953488","0.821398773006135","0.132186544342508","1.07514543168483","0.1698669527897","","","0.00038","0.00116","0.02642","0.00146","","","24.6670906200318","","2.65124824120603","0.700121107266436","","","","","","","","","","","","","","","","","","","","","","","","","1635696",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 2 [23305]","PYROXENITE, OLIVINE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","48.5140083952087","0.112995792662157","","3.87273297346305","0.519256866427671","0.130760547791859","10.8291228427837","","2.97994627133595","28.0814496331868","0.18274600197064","0.174332853346616","1.35336595194796E-03","0.343576636359714","7.27166599300271E-03","","","","","","","","","","","","","","","","3.49","","","","","","","","","","","","","","","","","","","","","","","","52","","","","19.4658373445799","","107.940976017847","3552.81013871565","","","119.935960743325","1369.92483151892","6","41.2596157779401","5.74010443722944","","","","","1.02133744855967","18.9804430044382","3.61425420888617","10.7013825084515","0.531453292065279","","0.00518","0.00216","0.0027","","","","","","","","","23.0213408723748","1.25892839611568","4.31226610526316","0.489842393052428","1.73093607305936","0.372296386273914","0.134388586956522","0.394839418062037","0.063","0.484364864864865","0.105123961661342","0.327347197106691","5.55508474576271E-02","0.386433268858801","6.62225705329154E-02","0.272301199834506","3.80803382663848E-02","","","0.00045","0.0008","0.01582","0.00066","","","25.4987883556255","","0.683378042722305","0.19490662139219","","","","","","","","","","","","","","","","","","","","","","","","","1635697",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 4 [23305]","PYROXENITE, OLIVINE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","48.4062274544155","0.123570068460055","","5.04741904409797","0.49086435602538","0.163366948755527","10.8298487061853","","3.92856201273448","26.8203395627499","0.195668456661222","0.155446661257061","3.39500469311154E-02","0.508287376140487","2.24082267895136E-03","","","","","","","","","","","","","","","","1.53","","","","","","","","","","","","","","","","","","","","","","","","67","","","","21.8802952929447","","123.264753788011","3358.54559385787","","","107.653127216904","1221.51526315789","12","40.0996627677351","6.53955830198818","","","","","3.16767676767677","36.7944044644472","3.71800950263056","11.6931252491141","0.594541806020067","","0.00507","0.00313","0.01504","","","","","","","","","38.3790611587983","1.89399636285837","3.57394759087067","0.423047191011236","1.5677","0.331181432038835","0.137247918593895","0.395927355278093","7.34686998394864E-02","0.525797297297297","0.108998095238095","0.373388836772983","6.13556851311953E-02","0.403563120567376","0.07109375","0.310718737017034","4.03404255319149E-02","","","0.00041","0.00063","0.01685","0.00086","","","20.7980876494024","","0.583160714285714","0.17372389380531","","","","","","","","","","","","","","","","","","","","","","","","","1635698",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 5 [23305]","PYROXENITE, OLIVINE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","49.9515373600173","0.184655384943254","","6.84271412215018","0.453615883519999","0.323774916482214","9.87311703686335","","4.47960692501421","23.303807667123","0.18493386448063","0.138881890677161","0.203134130457299","0.917776970997982","1.92568665108579E-02","","","","","","","","","","","","","","","","1.21","","","","","","","","","","","","","","","","","","","","","","","","97","","","","22.4162333788218","","124.227209398755","3103.6876240842","","","109.479183647783","1091.34765498652","22","40.5840298507463","8.04595151515151","","","","","9.34824141519251","68.0247602236668","5.00036290882799","17.0614746882051","0.750465606190886","","0.00402","0.00227","0.005","","","","","","","","","81.0913472070099","2.69113094843767","6.2029012244898","0.698720149253731","2.54150776053215","0.523784198113208","0.206122699386503","0.583161359956827","0.103532407407407","0.704902171136654","0.14062399380805","0.445415492957747","7.93103448275862E-02","0.506176223776224","8.17365269461078E-02","0.455038966365874","6.75723270440252E-02","","","0.00035","0.00055","0.00978","0.00079","","","17.1955835962145","","0.947960992907801","0.238663157894737","","","","","","","","","","","","","","","","","","","","","","","","","1635699",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_GAB 2 [23305]","NORITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","50.6756045747592","0.221094417857534","","12.2903968432891","0.217524234362598","0.869430505854011","7.04130863239599","","6.49767064872726","15.8787796159553","0.149543836497381","5.88318801376094E-02","0.895433190892431","1.6062808354871","2.97271639347582E-02","","","","","","","","","","","","","","","","2.72","","","","","","","","","","","","","","","","","","","","","","","","158","","","","24.8112865683232","","116.687931184929","1488.32370879672","","","72.331429545226","462.306742179072","48","43.3021520295203","11.3737828947368","","","","","31.8703319502075","154.933083614003","5.97507287877857","25.4928521740212","1.27049381311336","","0.00072","0.00107","0.00915","","","","","","","","","294.327846735024","3.73269473106476","8.58298822574097","0.994598513011152","3.54279259259259","0.756461538461539","0.295593103448276","0.829549356223176","0.139981395348837","0.910196870267542","0.181312519319938","0.564585106382979","9.18067226890756E-02","0.584036613272311","9.21641791044776E-02","0.669051157125457","9.90737704918033E-02","","","0.00008","0.00012","0.00601","0.00101","","","14.3577690494894","","1.38972196854389","0.375857651245552","","","","","","","","","","","","","","","","","","","","","","","","","1635700",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_GAB 5 [23305]","NORITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","48.558289940526","0.116511302331523","","15.445400592594","0.285708085035146","0.715591772459505","5.79540571760974","","8.90331790670037","16.3440215320488","0.130448259166396","8.24240106192547E-02","0.190065525281791","1.66083950359832","0.004825333775402","","","","","","","","","","","","","","","","1.57","","","","","","","","","","","","","","","","","","","","","","","","65","","","","14.3759865558944","","81.7721441642699","1954.84479234574","","","62.5185236683997","647.696040609137","34","32.2628525406355","11.9951264120495","","","","","6.2635846230654","222.504203536343","3.77385946709171","13.4790708713441","0.427560180131004","","0.0024","0.00162","0.00348","","","","","","","","","189.66736","3.22999556587838","6.03520103761349","0.689874098360656","2.45272226593234","0.488509732360097","0.342532015065913","0.478180688876341","8.01504854368932E-02","0.54515951245363","0.105460897435897","0.324613953488372","5.23032069970845E-02","0.339","5.46728971962617E-02","0.344040198922503","5.53503184713376E-02","","","0.00058","0.00103","0.00767","0.00317","","","7.88504731861199","","0.816864406779661","0.228","","","","","","","","","","","","","","","","","","","","","","","","","1635701",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_GAB 10 [23305]","NORITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","50.0528419798103","0.131791149802238","","11.9261463626914","0.291312728071328","0.841624427167248","6.8161138864423","","8.09748355237725","18.5595947611604","0.142922472507166","9.61082912848561E-02","0.111874014679632","1.4816694399884","0.018947669793805","","","","","","","","","","","","","","","","1.04","","","","","","","","","","","","","","","","","","","","","","","","75","","","","19.0180356107166","","106.271650806898","1993.19234996172","","","74.1488828850026","755.228473684211","15","37.9450873461947","9.92757012358947","","","","","4.44365656565657","133.762971677288","4.58521981923337","17.4793561054613","0.799947742474916","","0.0022","0.00138","0.00335","","","","","","","","","94.0147210300429","2.35839890885751","5.83811327134404","0.672485393258427","2.43458076923077","0.525116504854369","0.232813135985199","0.580625425652667","9.96356340288925E-02","0.653054054054054","0.132841428571429","0.42453799249531","6.73906705539359E-02","0.426313002364066","0.068046875","0.439149148317408","5.95021276595745E-02","","","0.00013","0.00035","0.00756","0.00051","","","4.60378007968127","","0.826746428571429","0.2296","","","","","","","","","","","","","","","","","","","","","","","","","1635702",
"[23305]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CONGO CRATON / MONTS DE CRISTAL COMPLEX","","0.5","1","10","10.5","SAE","","","s_PX 31 [23305]","ORTHOPYROXENITE [23305]","","","","ARCHEAN [23305]","","","","","PLU","","","","","WR [23305] ","51.6085710453318","0.217493128484863","","3.62349551823726","0.423620270753883","0.420548822884635","9.8847127459609","","3.12020032893813","26.337406293204","0.204136094369892","9.61700660528214E-02","0.122027015544321","0.709391629967131","1.37984551882635E-02","","","","","","","","","","","","","","","","0.98","","","","","","","","","","","","","","","","","","","","","","","","59","","","","28.432373381225","","146.372806068102","2898.45448410552","","","92.7110346740317","755.71390593047","17","44.3425919661734","6.51685283018868","","","","","7.29386996904025","22.5176743944016","6.94199790249525","26.2582873901967","1.18400321094513","","0.00318","0.00173","0.00384","","","","","","","","","93.4984840281538","3.52788384931803","8.34659561920809","0.98466368286445","3.56232745398773","0.752214736842105","0.176804387568556","0.780254677464395","0.135783439490446","0.887734508685507","0.17770734375","0.584037607612143","9.42732558139535E-02","0.616049079754601","0.10237003058104","0.643624476110645","0.106802575107296","","","0.00022","0.00047","0.01487","0.00061","","","8.724413354531","","1.66109648241206","0.466747404844291","","","","","","","","","","","","","","","","","","","","","","","","","1635703",
