"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SAE","","","s_GWL-24 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOL","","","","","WR [18327] ","51.85","0.92","","13.08","","","","12.78","10.64","6.7","0.16","","0.32","2.01","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","354","151","","","59","159","","","","","","","","12","139","28","48","3","","","","","","","","","","","","0.94","38","4.03","10.8","1.7","8.23","2.65","0.92","3.34","0.63","4.24","0.94","2.48","0.4","2.55","0.4","1.36","","","","","","","","","","","","0.32","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1068149",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SAE","","","s_OWL-26 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOL","","","","","WR [18327] ","52.25","0.89","","13.09","","","","12.82","10.38","6.36","0.15","","0.3","2.2","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","338","137","","","55","138","","","","","","","","12","144","28","56","3.3","","","","","","","","","","","","0.89","36","4.3","10.96","1.69","8.17","2.6","0.97","3.23","0.62","4.13","0.91","2.44","0.4","2.59","0.4","1.58","","","","","","","","","","","","0.38","0.14","","","","","","","","","","","","","","","","","","","","","","","","","1068150",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SAE","","","s_G-32 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOL","","","","","WR [18327] ","51.05","0.9","","14","","","","10.92","11.19","7.56","0.14","","0.09","2.82","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","232","199","","","53","129","","","","","","","","7","226","23","48","2.9","","","","","","","","","","","","1.12","54","4.19","11.11","1.72","8.14","2.63","0.92","3.17","0.59","3.83","0.84","2.31","0.37","2.41","0.38","1.42","","","","","","","","","","","","0.53","0.23","","","","","","","","","","","","","","","","","","","","","","","","","1068151",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SAE","","","s_GWL-49 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOL","","","","","WR [18327] ","52","0.75","","13.12","","","","12.33","10.16","7.69","0.19","","0.54","1.79","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","288","166","","","52","94","","","","","","","","35","135","19","49","2.2","","","","","","","","","","","","0.7","82","3.19","8.24","1.33","6.3","1.99","0.73","2.43","0.46","3.02","0.67","1.88","0.3","1.99","0.31","1.39","","","","","","","","","","","","0.4","0.12","","","","","","","","","","","","","","","","","","","","","","","","","1068152",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SAE","","","s_G-58 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOL","","","","","WR [18327] ","53.71","0.52","","13.71","","","","7.87","11.38","8.86","0.12","","0.04","2.84","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","101","109","","","44","89","","","","","","","","7","199","31","71","3.7","","","","","","","","","","","","0.31","71","7.32","16.34","2.26","9.86","2.96","0.97","3.68","0.72","4.82","1.1","3.17","0.51","3.41","0.52","2.04","","","","","","","","","","","","1.09","0.34","","","","","","","","","","","","","","","","","","","","","","","","","1068153",
"[18327]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / GADWAL GREENSTONE BELT","DHARWAR SUPERGROUP","15.5","16.75","77.5","80","SAE","","","s_G-57 [18327]","BASALT [18327]","","","NEO [18327]","ARCHEAN [18327]","","","","","VOL","","","","","WR [18327] ","55.42","0.86","","13.35","","","","10.18","9.51","6.15","0.16","","0.14","2.95","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","101","11","","","40","89","","","","","","","","3","191","35","83","4.3","","","","","","","","","","","","0.13","48","8.16","18.16","2.72","11.63","3.47","1.13","4.38","0.83","5.74","1.29","3.65","0.58","3.92","0.6","2.42","","","","","","","","","","","","1.29","0.34","","","","","","","","","","","","","","","","","","","","","","","","","1068154",
"[20582]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / NILGIRI BLOCK","KUKKALTHURAI","11.4841","11.4841","76.8223","76.8223","SAE","","","s_1911-10 [20582]","BIF (BANDED IRON FORMATION) [20582]","","","NEO [20582]","ARCHEAN [20582]","","","","","SED","","","","","WR [20582] ","45.01","0.003","","0.11","","","","49.27","0.03","0.25","0.029","","0","0.02","0.16","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","3","","","","","","","","","","","","","0","","12","40","","","4","0","0","0","0","5.7","0","","","0","2","6.1","4","0","3","","","","0","","0","0","0.9","","","0","9","1.8","2.74","0.35","1.54","0.36","0.237","0.58","0.09","0.57","0.13","0.39","0.066","0.45","0.069","0","0","0.9","","","","","","","0","0","0","0.13","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1089674",
"[20582]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / NILGIRI BLOCK","OOTY TO MASINAGUDI","11.5204","11.5204","76.6935","76.6935","SAE","","","s_20114-3 [20582]","GABBRO [20582]","","","NEO [20582]","ARCHEAN [20582]","","","","","PLU","","","","","WR [20582] ","47.61","0.625","","8.62","","","","14.32","14.2","11.67","0.296","","0.02","0.76","0","","","","","","","","","","","","","","","","-0.35","","","","","","","","","","","","","","","0","","","","","","","","","","","","","57","","392","1950","","","78","340","90","140","14","2.5","0","","","0","15","24.5","49","1","3","","","","0","","0","0","2.2","","","0","10","3.72","16.3","2.86","15.4","4.89","0.95","4.5","0.77","4.15","0.79","2.33","0.398","2.51","0.346","1.5","0.07","1.4","","","","","","","0","0","0","0","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1089675",
"[20582]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / NILGIRI BLOCK","OOTY TO MASINAGUDI","11.5204","11.5204","76.6935","76.6935","SAE","","","s_20114-4B [20582]","GABBRO [20582]","","","NEO [20582]","ARCHEAN [20582]","","","","","PLU","","","","","WR [20582] ","45.38","1.717","","18.54","","","","12.53","10.31","4.99","0.246","","0.99","2.84","0.75","","","","","","","","","","","","","","","","-0.28","","","","","","","","","","","","","","","1","","","","","","","","","","","","","25","","188","70","","","35","50","0","110","21","2.5","0","","","11","222","46.7","212","19.3","4","","","","1.8","","0","1","1.2","","","0","159","19.3","53.9","7.73","35.4","8.51","2.74","7.74","1.29","7.93","1.49","4.54","0.714","4.35","0.611","4","1.96","0.6","","","","","","","0","8","0","2.59","2.15","","","","","","","","","","","","","","","","","","","","","","","","","1089676",
"[20582]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / NILGIRI BLOCK","GUDALUR TO OOTY","11.4911","11.4911","76.5278","76.5278","SAE","","","s_29811-6B [20582]","GABBRO [20582]","","","NEO [20582]","ARCHEAN [20582]","","","","","PLU","","","","","WR [20582] ","45.58","1.891","","17.16","","","","13.66","9.66","5.11","0.246","","0.19","2.88","0.22","","","","","","","","","","","","","","","","0.25","","","","","","","","","","","","","","","0","","","","","","","","","","","","","42","","424","220","","","71","140","260","80","21","1.9","0","","","0","429","39.7","136","5","3","","","","1","","0","0","1.1","","","0","83","12.1","27.8","3.48","15.2","4.01","1.36","4.56","0.93","6.41","1.37","4.13","0.659","4.19","0.643","3","0.38","1.3","","","","","","","0","0","0","0.11","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1089677",
"[20582]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / NILGIRI BLOCK","KODANADU VIEWPOINT","11.5231","11.5231","76.9134","76.9134","SAE","","","s_19114-3 [20582]","GABBRO [20582]","","","NEO [20582]","ARCHEAN [20582]","","","","","PLU","","","","","WR [20582] ","51.53","0.74","","15.95","","","","9.29","10.48","7.58","0.139","","0.17","3.09","0.16","","","","","","","","","","","","","","","","-0.09","","","","","","","","","","","","","","","0","","","","","","","","","","","","","33","","209","270","","","35","110","0","70","16","2","0","","","0","345","18.3","64","1.8","0","","","","0","","0","0","0.4","","","0","52","8.59","21.2","2.89","12.8","2.9","0.957","2.75","0.46","2.93","0.63","1.8","0.285","1.94","0.287","1.5","0.12","0","","","","","","","0","0","0","0.08","0.04","","","","","","","","","","","","","","","","","","","","","","","","","1089678",
"[20582]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","DHARWAR CRATON_ARCHEAN / WESTERN DHARWAR CRATON / NILGIRI BLOCK","KUKKALTHURAI","11.4685","11.4685","76.813","76.813","SAE","","","s_1911-9A [20582]","AMPHIBOLITE [20582]","","","NEO [20582]","ARCHEAN [20582]","","","","","MET","","","","","WR [20582] ","48.79","1.558","","13.51","","","","14.11","10.22","5.85","0.218","","0.3","1.85","0.13","","","","","","","","","","","","","","","","1.77","","","","","","","","","","","","","","","0","","","","","","","","","","","","","43","","387","120","","","43","60","70","110","19","2.3","0","","","4","127","25.8","90","4.3","0","","","","0.6","","0","0","0.8","","","0","78","7.06","17.3","2.63","12.5","3.89","1.29","4.11","0.7","4.4","0.85","2.47","0.396","2.53","0.361","2.2","0.33","0","","","","","","","0","0","0","0.53","0.1","","","","","","","","","","","","","","","","","","","","","","","","","1089679",
