"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.1 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","RANDOM SPINIFEX [20457] ","VOL","","","","","WR [20457] ","47.7","0.391","","4.1","","","","10.71","8.14","26.5","0.18","","0.07","0.44","0.028","","","","","","","","","","","","","","","","4.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982","","","","1415","","","","","","","","","","7.12","23.9","1.44","","","","","","","","","","","","","","1.64","4.59","0.693","3.418","1.063","0.37","1.4","0.225","1.43","0.287","0.747","0.113","0.715","0.08722","0.5392","","0.727","","","","","","","","","","0.104","0.0359","0.512522","","","","","","","","","","","","","","","","","0.282219","","","","","","","1064520",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.2 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","RANDOM SPINIFEX [20457] ","VOL","","","","","WR [20457] ","47.2","0.362","","3.69","","","","11.88","6.6","27.9","0.161","","0.03","0.32","0.022","","","","","","","","","","","","","","","","5.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1985","","","","1651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064521",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.3 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","RANDOM SPINIFEX [20457] ","VOL","","","","","WR [20457] ","46.8","0.404","","3.92","","","","11.97","7.59","26.7","0.202","","0.07","0.45","0.029","","","","","","","","","","","","","","","","3.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2071","","","","1501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064522",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.4 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","RANDOM SPINIFEX [20457] ","VOL","","","","","WR [20457] ","46.2","0.411","","4.14","","","","12.15","7.58","26.9","0.191","","0.08","0.44","0.026","","","","","","","","","","","","","","","","3.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2118","","","","1492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09728","0.6252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.282171","","","","","","","1064523",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.5 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","ORIENTED SPINIFEX [20457] ","VOL","","","","","WR [20457] ","47.1","0.404","","4.18","","","","11.79","8.16","25.9","0.182","","0.07","0.47","0.026","","","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079","","","","1313","","","","","","","","","","7.48","23.6","1.41","","0.002318","","0.004086","","","","","","","","","","1.79","4.94","0.763","3.749","1.18","0.457","1.47","0.237","1.48","0.301","0.766","0.115","0.721","0.102","0.634","","1.015","0.0000315","0.001003","0.000832","0.003864","","","","","","0.107","0.038","0.512473","","","","","","","","","","","","","","0.11526","","0.1512","","","","","","","","1064524",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.6 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","ORIENTED SPINIFEX [20457] ","VOL","","","","","WR [20457] ","47.8","0.431","","4.13","","","","11.34","8.97","24.8","0.17","","0.1","0.5","0.031","","","","","","","","","","","","","","","","2.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2130","","","","1280","","","","","","","","","","7.95","23.9","1.54","","0.002314","","0.004373","","","","","","","","","","1.99","5.62","0.847","4.133","1.29","0.501","1.64","0.261","1.67","0.326","0.849","0.13","0.841","0.12","0.684","","1.014","0.0000148","0.00108","0.0009","0.003939","","","","","","0.12","0.0392","0.512469","","","","","","","","","","","","","","0.1101","","0.0657","","","","","","","","1064525",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.8 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","CHILLED MARGIN [20457] ","VOL","","","","","WR [20457] ","47.4","0.381","","3.59","","","","10.44","7.15","28.7","0.221","","0.03","0.37","0.026","","","","","","","","","","","","","","","","4.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1907","","","","1711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064526",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.9 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","CUMULATE [20457] ","VOL","","","","","WR [20457] ","46.3","0.303","","3.16","","","","10.71","5.02","32.3","0.171","","0.01","0.19","0.018","","","","","","","","","","","","","","","","7.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1749","","","","2268","","","","","","","","","","5.33","17.1","1.12","","0.002276","","0.002977","","","","","","","","","","1.23","3.42","0.528","2.71","0.846","0.275","1.07","0.171","1.08","0.219","0.564","0.0844","0.539","0.07201","0.441","","1.074","0.00000912","0.0008305","0.000768","0.002811","","","","","","0.0769","0.0257","","","","","","","","","","","","","","","0.10969","","0.0528","0.282227","","","","","","","1064527",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.10 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","CUMULATE [20457] ","VOL","","","","","WR [20457] ","45.3","0.252","","2.71","","","","10.17","3.64","36","0.182","","0.01","0.14","0.013","","","","","","","","","","","","","","","","8.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1557","","","","2675","","","","","","","","","","4.32","14.2","0.839","","0.002194","","0.002568","","","","","","","","","","0.962","2.7","0.42","2.12","0.647","0.222","0.828","0.132","0.841","0.17","0.447","0.0674","0.443","0.0654","0.413","","1.019","0.0000121","0.0007541","0.000696","0.00249","","","","","","0.0746","0.0222","","","","","","","","","","","","","","","0.11121","","0.0773","","","","","","","","1064528",
"[20457]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / SCHAPENBURG KOMATIITE - PATRICIA^S AND CARL^S FLOW","DRILL HOLE","-25.95","-25.95","30.57","30.57","SAE","","","s_SCH1.13 [20457]","KOMATIITE [20457]","","","PALEO [20457]","ARCHEAN [20457]","","","","ORIENTED SPINIFEX [20457] ","VOL","","","","","WR [20457] ","47.7","0.405","","3.93","","","","11.07","9.26","25.1","0.192","","0.1","0.47","0.039","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2125","","","","1219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064529",
