"CITATIONS,""TECTONIC SETTING"",""LOCATION"",""LOCATION COMMENT"",""LATITUDE MIN"",""LATITUDE MAX"",""LONGITUDE MIN"",""LONGITUDE MAX"",""LAND OR SEA"",""ELEVATION MIN"",""ELEVATION MAX"",""SAMPLE NAME"",""ROCK NAME"",""MIN. AGE (YRS.)"",""MAX. AGE (YRS.)"",""GEOL."",""AGE"",""ERUPTION DAY"",""ERUPTION MONTH"",""ERUPTION YEAR"",""ROCK TEXTURE"",""ROCK TYPE"",""DRILL DEPTH MIN"",""DRILL DEPTHAX"",""ALTERATION"",""MINERAL"",""MATERIAL"",""SIO2(WT%)"",""TIO2(WT%)"",""B2O3(WT%)"",""AL2O3(WT%)"",""CR2O3(WT%)"",""FE2O3(WT%)"",""FEO(WT%)"",""FEOT(WT%)"",""CAO(WT%)"",""MGO(WT%)"",""MNO(WT%)"",""NIO(WT%)"",""K2O(WT%)"",""NA2O(WT%)"",""P2O5(WT%)"",""H2O(WT%)"",""H2OP(WT%)"",""H2OM(WT%)"",""H2OT(WT%)"",""CO2(WT%)"",""CO1(WT%)"",""F(WT%)"",""CL(WT%)"",""CL2(WT%)"",""OH(WT%)"",""CH4(WT%)"",""SO2(WT%)"",""SO3(WT%)"",""SO4(WT%)"",""S(WT%)"",""LOI(WT%)"",""VOLATILES(WT%)"",""O(WT%)"",""OTHERS(WT%)"",""HE(CCM/G)"",""HE(CCMSTP/G)"",""HE3(CCMSTP/G)"",""HE3(AT/G)"",""HE4(CCM/G)"",""HE4(CCMSTP/G)"",""HE4(AT/G)"",""HE4(MOLE/G)"",""HE4(NCC/G)"",""HE(NCC/G)"",""LI(PPM)"",""BE(PPM)"",""B(PPM)"",""C(PPM)"",""CO2(PPM)"",""F(PPM)"",""NA(PPM)"",""MG(PPM)"",""AL(PPM)"",""P(PPM)"",""S(PPM)"",""CL(PPM)"",""K(PPM)"",""CA(PPM)"",""SC(PPM)"",""TI(PPM)"",""V(PPM)"",""CR(PPM)"",""MN(PPM)"",""FE(PPM)"",""CO(PPM)"",""NI(PPM)"",""CU(PPM)"",""ZN(PPM)"",""GA(PPM)"",""GE(PPM)"",""AS(PPM)"",""SE(PPM)"",""BR(PPM)"",""RB(PPM)"",""SR(PPM)"",""Y(PPM)"",""ZR(PPM)"",""NB(PPM)"",""MO(PPM)"",""RU(PPM)"",""RH(PPM)"",""PD(PPM)"",""AG(PPM)"",""CD(PPM)"",""IN(PPM)"",""SN(PPM)"",""SB(PPM)"",""TE(PPM)"",""I(PPM)"",""CS(PPM)"",""BA(PPM)"",""LA(PPM)"",""CE(PPM)"",""PR(PPM)"",""ND(PPM)"",""SM(PPM)"",""EU(PPM)"",""GD(PPM)"",""TB(PPM)"",""DY(PPM)"",""HO(PPM)"",""ER(PPM)"",""TM(PPM)"",""YB(PPM)"",""LU(PPM)"",""HF(PPM)"",""TA(PPM)"",""W(PPM)"",""RE(PPM)"",""OS(PPM)"",""IR(PPM)"",""PT(PPM)"",""AU(PPM)"",""HG(PPM)"",""TL(PPM)"",""PB(PPM)"",""BI(PPM)"",""TH(PPM)"",""U(PPM)"",""ND143_ND144"",""ND143_ND144_INI"",""EPSILON_ND"",""SR87_SR86"",""SR87_SR86_INI"",""PB206_PB204"",""PB206_PB204_INI"",""PB207_PB204"",""PB207_PB204_INI"",""PB208_PB204"",""PB208_PB204_INI"",""OS184_OS188"",""OS186_OS188"",""OS187_OS186"",""OS187_OS188"",""RE187_OS186"",""RE187_OS188"",""HF176_HF177"",""HE3_HE4"",""HE3_HE4(R/R(A))"",""HE4_HE3"",""HE4_HE3(R/R(A))"",""K40_AR40"",""AR40_K40"",""UNIQUE_ID"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD1231D [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""78.17"",""0.143"","""",""10.08"","""","""","""",""2.38"",""0.69"",""0.46"",""0.039"","""",""2.76"",""3.29"",""0.019"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.05"","""","""","""","""","""","""","""","""","""","""","""","""","""",""13.197"",""2.41"","""","""","""","""","""","""","""","""","""","""","""","""",""1.901"","""",""1.202"",""4.597"","""","""",""0.2715"",""0.8255"",""1.422"",""56.007"",""21.2815"","""","""","""","""",""26.983"",""51.643"",""61.394"",""370.5385"",""16.499"",""1.9965"","""","""","""","""","""","""",""3.122"","""","""","""",""0.364"",""631.7035"",""48.967"",""95.361"",""12.004"",""46.124"",""9.739"",""1.7365"",""9.7635"",""1.606"",""10.3865"",""2.2235"",""6.4115"",""0.906"",""6.349"",""0.9355"",""8.953"",""1.617"",""0.504"","""","""","""","""","""","""","""",""6.13"",""0.042"",""9.419"",""1.8895"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120800"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD14127C [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.81"",""0.15"","""",""10.8"","""","""","""",""2.63"",""0.39"",""0.36"",""0.03"","""",""3.51"",""3.54"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.53"","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.066"",""1.334"","""","""","""","""","""","""","""","""","""","""","""","""",""1.897"","""",""4.6"",""16.56"","""","""",""0.244"","""",""2.088"",""40.412"",""19.873"","""","""","""","""",""55.494"",""49.303"",""64.565"",""337.79"",""16.801"",""0.475"","""","""","""","""",""0.16"","""",""3.318"","""","""","""",""0.2"",""661.775"",""63.38"",""110.534"",""14.393"",""54.942"",""11.092"",""2.007"",""11.3"",""1.799"",""11.182"",""2.428"",""7.087"",""1.073"",""6.929"",""1.043"",""9.611"",""1.303"",""0.428"","""","""","""","""","""","""","""",""9.318"",""0.016"",""11.125"",""2.48"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120801"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD1431F [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.75"",""0.14"","""",""10.69"","""","""","""",""2.6"",""0.8"",""0.51"",""0.04"","""",""2.88"",""3.4"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.97"","""","""","""","""","""","""","""","""","""","""","""","""","""",""11.986"",""2.68"","""","""","""","""","""","""","""","""","""","""","""","""",""1.924"","""",""3.4"",""13.259"","""","""",""0.124"","""",""1.6"",""49.573"",""21.113"","""","""","""","""",""41.523"",""49.311"",""64.387"",""350.916"",""17.031"",""1.172"","""","""","""","""",""0.013"","""",""1.752"","""","""","""",""0.564"",""638.069"",""46.834"",""80.396"",""11.483"",""44.581"",""9.524"",""1.745"",""9.79"",""1.723"",""10.901"",""2.415"",""7.186"",""1.1"",""7.152"",""1.073"",""9.965"",""1.342"",""0.461"","""","""","""","""","""","""","""",""8.01"",""0.085"",""9.306"",""1.955"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120802"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD1231A [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.63"",""0.158"","""",""10.54"","""","""","""",""2.73"",""0.72"",""0.43"",""0.039"","""",""2.87"",""3.53"",""0.017"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.9"","""","""","""","""","""","""","""","""","""","""","""","""","""",""19.181"",""2.339"","""","""","""","""","""","""","""","""","""","""","""","""",""1.996"","""",""1.099"",""10.224"","""","""",""0.197"",""0.334"",""0.769"",""73.001"",""22.721"","""","""","""","""",""39.721"",""48.184"",""67.446"",""394.597"",""17.79"",""0.86"","""","""","""","""",""0.025"","""",""2.342"","""","""","""",""0.609"",""601.933"",""51.352"",""103.346"",""12.628"",""48.087"",""10.126"",""1.838"",""10.135"",""1.717"",""10.981"",""2.434"",""6.941"",""1.008"",""6.996"",""1.001"",""9.466"",""1.731"",""0.387"","""","""","""","""","""","""","""",""7.141"",""0.029"",""9.959"",""2.076"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120803"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD1231B [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.58"",""0.162"","""",""10.6"","""","""","""",""2.47"",""0.75"",""0.5"",""0.039"","""",""2.78"",""3.52"",""0.017"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.99"","""","""","""","""","""","""","""","""","""","""","""","""","""",""9.881"",""2.79"","""","""","""","""","""","""","""","""","""","""","""","""",""2.454"","""",""0.938"",""13.406"","""","""",""0.352"",""0.776"",""3.276"",""67.338"",""21.695"","""","""","""","""",""30.85"",""49.861"",""59.8"",""404.111"",""17.7"",""1.02"","""","""","""","""",""0.016"","""",""1.719"","""","""","""",""0.508"",""619.68"",""46.488"",""94.41"",""11.576"",""44.921"",""9.528"",""1.697"",""9.501"",""1.57"",""10.153"",""2.164"",""6.335"",""0.903"",""6.492"",""0.957"",""9.584"",""1.458"",""0.485"","""","""","""","""","""","""","""",""7.187"",""0.054"",""9.106"",""2.059"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120804"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD14127D [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.55"",""0.14"","""",""10.74"","""","""","""",""2.8"",""1.11"",""0.58"",""0.05"","""",""2.44"",""3.37"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.05"","""","""","""","""","""","""","""","""","""","""","""","""","""",""14.567"",""2.372"","""","""","""","""","""","""","""","""","""","""","""","""",""1.954"","""",""3.6"",""15.724"","""","""",""0.193"","""",""2.2"",""62.275"",""21.689"","""","""","""","""",""51.814"",""69.912"",""65.954"",""335.776"",""16.887"",""0.898"","""","""","""","""",""0.03"","""",""3.013"","""","""","""",""0.935"",""556.253"",""52.586"",""98.016"",""12.541"",""48.663"",""10.399"",""1.887"",""10.869"",""1.822"",""11.308"",""2.455"",""7.193"",""1.089"",""7.081"",""1.068"",""9.6"",""1.278"",""0.161"","""","""","""","""","""","""","""",""7.443"",""0.103"",""10.537"",""2.041"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120805"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD13127B [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.49"",""0.161"","""",""10.79"","""","""","""",""2.58"",""0.42"",""0.68"",""0.043"","""",""2.22"",""4.25"",""0.017"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.59"","""","""","""","""","""","""","""","""","""","""","""","""","""",""9.094"",""2.414"","""","""","""","""","""","""","""","""","""","""","""","""",""2.024"","""",""1.037"",""8.634"","""","""",""0.27"",""0.437"",""0.369"",""49.613"",""23.303"","""","""","""","""",""26.939"",""46.731"",""69.424"",""406.121"",""17.904"",""0.448"","""","""","""","""",""0.046"","""",""1.509"","""","""","""",""0.405"",""423.249"",""120.663"",""121.05"",""24.865"",""92.688"",""16.398"",""2.473"",""13.717"",""2.032"",""11.996"",""2.46"",""7.076"",""1.02"",""7"",""1.028"",""9.719"",""1.725"",""0.251"","""","""","""","""","""","""","""",""5.139"",""0.026"",""9.822"",""2.176"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120806"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD13127A [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.4"",""0.164"","""",""10.63"","""","""","""",""2.73"",""0.82"",""0.45"",""0.032"","""",""2.7"",""3.31"",""0.02"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.12"","""","""","""","""","""","""","""","""","""","""","""","""","""",""13.49"",""2.168"","""","""","""","""","""","""","""","""","""","""","""","""",""2.291"","""",""1.044"",""12.798"","""","""",""0.227"",""0.49"",""0.95"",""71.351"",""23.091"","""","""","""","""",""40.305"",""65.771"",""66.511"",""405.415"",""17.911"",""0.291"","""","""","""","""",""0.018"","""",""2.838"","""","""","""",""1.038"",""539.06"",""53.608"",""103.207"",""13.246"",""50.53"",""10.429"",""1.854"",""10.521"",""1.771"",""11.267"",""2.387"",""7.025"",""0.978"",""6.942"",""1.015"",""9.645"",""1.75"",""0.237"","""","""","""","""","""","""","""",""7.937"",""0.049"",""9.987"",""2.133"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120807"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD1231C [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""77.19"",""0.16"","""",""10.68"","""","""","""",""2.54"",""0.4"",""0.74"",""0.047"","""",""3.57"",""3.1"",""0.017"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.63"","""","""","""","""","""","""","""","""","""","""","""","""","""",""13.958"",""2.032"","""","""","""","""","""","""","""","""","""","""","""","""",""1.957"","""",""1.12"",""9.221"","""","""",""0.297"",""0.355"",""0.848"",""104.38"",""21.964"","""","""","""","""",""35.096"",""37.13"",""52.746"",""404.235"",""18.364"",""0.55"","""","""","""","""",""0.036"","""",""1.593"","""","""","""",""0.679"",""755.531"",""46.796"",""100.881"",""11.556"",""43.986"",""9.325"",""1.607"",""8.725"",""1.424"",""9"",""1.921"",""5.688"",""0.825"",""5.862"",""0.887"",""9.615"",""1.769"",""0.261"","""","""","""","""","""","""","""",""7.953"",""0.076"",""8.606"",""1.776"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120808"","
"[20769],""ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)"",""SAO FRANCISCO CRATON_ARCHEAN / GAVIAO BLOCK / CONTENDAS-MIRANTE SUPRACRUSTAL BELT / CONTENDAS RHYOLITE"","""",""-13.4"",""-13.4"",""-41"",""-41"",""SAE"","""","""",""s_TZD1331E [20769]"",""RHYOLITE [20769]"",""3300000000 [20769]"",""3300000000 [20769]"","""",""ARCHEAN [20769]"","""","""","""","""",""VOL"","""","""","""","""",""WR [20769] "",""76.54"",""0.14"","""",""10.38"","""","""","""",""2.9"",""1.04"",""0.42"",""0.048"","""",""2.85"",""3.71"",""0.025"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1.1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""14.707"",""2.503"","""","""","""","""","""","""","""","""","""","""","""","""",""1.715"","""",""0.871"",""17.663"","""","""",""0.236"",""0.639"",""0.876"",""68.945"",""22.499"","""","""","""","""",""34.338"",""56.054"",""65.304"",""398.139"",""17.578"",""1.411"","""","""","""","""",""0.037"","""",""1.833"","""","""","""",""0.874"",""609.379"",""47.751"",""90.51"",""11.524"",""44.881"",""9.526"",""1.699"",""9.56"",""1.662"",""10.341"",""2.257"",""6.445"",""0.909"",""6.448"",""0.919"",""9.569"",""1.727"",""0.402"","""","""","""","""","""","""","""",""6.646"",""0.064"",""8.965"",""1.569"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1120809"","
