"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5470]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / MIKHAILOV-BELGOROD BELT","","50.6","50.6","36.6","36.6","SAE","","","s_18 [5470]","BASALT, KOMATIITIC [5470]","","","","","","","","","VOL","","","","","WR [5470] ","50.23","0.57","","13.64","","1.52","10.03","","10.13","10.88","0.14","","0.25","2.31","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561","","","","116","","","","","","","","8","109","13","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186895",
"[5470]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / MIKHAILOV-BELGOROD BELT","","50.6","50.6","36.6","36.6","SAE","","","s_1819 [5470]","BASALT [5470]","","","","","","","","","VOL","","","","","WR [5470] ","50.41","0.99","","14.89","","2.28","10.55","","9.73","7.71","0.15","","0.31","2.1","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","141","21","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186896",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4052/327.9 [24707]","AMPHIBOLITE [24707]","","","","ARCHEAN [24707]","","","","","MET","327.9","327.9","","","WR [24707] ","41.5","1.52","","9.39","","","","15.12","11","15.5","0.21","","0.17","1.05","0.2","","","","","","","","","","","","","0.06","","","2.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","","202","977","","","99.3","687","196","","16.2","","","","","1.8","47.4","14.1","89","12.8","","","","","","","","","","","","","7.9","10.9","27.8","3.9","18.4","4.4","1.6","4.3","0.61","3.2","0.61","1.6","0.2","1.3","0.18","2.3","0.85","","","","","","","","","0.94","","1.1","0.27","","","","","","","","","","","","","","","","","","","","","","","","","2018235",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4052/477 [24707]","AMPHIBOLITE [24707]","","","","ARCHEAN [24707]","","","","","MET","477","477","","","WR [24707] ","39.6","1.2","","9.23","","","","12.33","5.57","24.8","0.16","","0.08","0.01","0.13","","","","","","","","","","","","","0.17","","","5.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2","","208","1050","","","","","","","13.1","","","","","","21.4","11","62.7","11.2","","","","","","","","","","","","","","10.3","25.5","3.54","15.6","3.62","1.03","3.3","0.46","2.5","0.41","1.07","0.14","0.92","0.12","1.72","0.6","","","","","","","","","","","1.08","0.2","","","","","","","","","","","","","","","","","","","","","","","","","2018236",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4320/244 [24707]","METAPICROBASALT [24707]","","","","ARCHEAN [24707]","","","","","MET","244","244","","","WR [24707] ","43.9","1.31","","6.51","","","","13.32","10.7","17","0.2","","0.1","0.72","0.16","","","","","","","","","","","","","0.25","","","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7","","246","1820","","","132","1120","313","","10.4","","","","","2","130","15.8","77.6","9.66","","","","","","","","","","","","","26.3","8.52","19.8","2.79","12.8","3.4","1.01","3.53","0.54","3.28","0.6","1.57","0.22","1.3","0.21","2.15","0.66","","","","","","","","","2.72","","0.99","0.32","","","","","","","","","","","","","","","","","","","","","","","","","2018237",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4320/255 [24707]","METAPICRITE [24707]","","","","ARCHEAN [24707]","","","","","MET","255","255","","","WR [24707] ","45.5","0.95","","8.03","","","","11.79","7.19","19.8","0.14","","0.33","0.73","0.13","","","","","","","","","","","","","0.17","","","3.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3","","211","1840","","","102","1150","485","","11.3","","","","","6.66","173","10.7","52","6.15","","","","","","","","","","","","","110","5.7","14.2","2.02","9.34","2.46","0.91","2.41","0.4","2.24","0.43","1.09","0.15","0.98","0.16","1.57","0.39","","","","","","","","","3.26","","0.62","0.2","","","","","","","","","","","","","","","","","","","","","","","","","2018238",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4320/280 [24707]","METAPICRITE [24707]","","","","ARCHEAN [24707]","","","","AMYGDALOIDAL [24707] ","MET","280","280","","","WR [24707] ","44.6","1.47","","6.34","","","","13.59","9.36","17.9","0.22","","0.28","0.44","0.17","","","","","","","","","","","","","0.27","","","3.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","","227","1630","","","99.8","1040","520","","10.2","","","","","7.75","232","15.7","99","15.1","","","","","","","","","","","","","85.9","14.2","31.3","4.18","18.8","4.33","1.37","4.19","0.62","3.46","0.66","1.53","0.22","1.27","0.19","2.63","1.13","","","","","","","","","2.54","","1.64","0.33","0.511953","","","","","","","","","","","","","","","","","","","","","","","","2018239",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4320/317 [24707]","AMPHIBOLITE [24707]","","","","ARCHEAN [24707]","","","","","MET","317","317","","","WR [24707] ","42","2.05","","6.17","","","","17.73","11.9","13.2","0.27","","0.1","0.88","0.24","","","","","","","","","","","","","0.3","","","3.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7","","293","1240","","","95.6","757","330","","13.4","","","","","2","260","16.2","108","15.5","","","","","","","","","","","","","8.91","15.3","35.5","4.74","21","4.98","1.51","4.58","0.67","3.73","0.63","1.57","0.21","1.19","0.17","2.9","1.15","","","","","","","","","3.28","","1.91","0.41","","","","","","","","","","","","","","","","","","","","","","","","","2018240",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_4320/415 [24707]","AMPHIBOLITE [24707]","","","","ARCHEAN [24707]","","","","","MET","415","415","","","WR [24707] ","46","1.46","","5.86","","","","13.77","10.1","17.3","0.2","","0.04","0.18","0.19","","","","","","","","","","","","","0.23","","","3.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2","","207","1730","","","105","1360","158","","9.91","","","","","2","72.1","14.8","91.6","11.5","","","","","","","","","","","","","9.48","11.1","25.7","3.52","15.7","3.72","1.19","3.76","0.54","3.07","0.58","1.34","0.19","1.18","0.17","2.49","0.8","","","","","","","","","1.61","","1.27","0.3","","","","","","","","","","","","","","","","","","","","","","","","","2018241",
"[24707]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SARMATIAN CRATON_ARCHEAN / KURSK BLOCK / TIM-YASTREBOVKA SYNFORM / TIM FORMATION","","52","52","37","37","SAE","","","s_3105/438.3 [24707]","METABASALT, PYROXENE-PLAGIOCLASE [24707]","","","","ARCHEAN [24707]","","","","","MET","438.3","438.3","","","WR [24707] ","41.9","3.45","","8.64","","","","22.32","9.18","7.54","0.27","","0.53","1.73","0.35","","","","","","","","","","","","","0.83","","","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7","","337","480","","","96.3","602","403","","20.7","","","","","14.9","131","24","192","57.2","","","","","","","","","","","","","207","33.5","78.9","10.1","44.6","9.4","2.9","8.6","1.2","5.9","1","2.4","0.28","1.8","0.23","5","4.4","","","","","","","","","3.5","","1.8","0.5","","","","","","","","","","","","","","","","","","","","","","","","","2018242",
