"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 37 [20615]","ANDESITE, BASALTIC [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","53.1","0.51","","2.53","","","","7.43","19","15.4","0.18","","0.18","0.64","0.02","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","370","","","49","340","","60","","","","","","7","47","8","25","1","","","","","","","","","","","","","80","2.6","7.1","1.2","5.7","1.6","0.54","1.7","0.3","1.7","0.3","0.8","0.12","0.7","0.1","0.7","0.1","","","","","","","","","0","","0.3","0.2","","","","","","","","","","","","","","","","","","","","","","","","","1099510",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 38 [20615]","ANDESITE, BASALTIC [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","53.4","0.53","","2.85","","","","7.5","14.5","17.6","0.16","","0.11","0.37","0.02","","","","","","","","","","","","","","","","3.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","860","","","53","380","","120","","","","","","3","52","8","23","2","","","","","","","","","","","","","10","2.9","7.8","1.21","6.2","1.8","0.59","1.9","0.3","1.9","0.3","0.8","0.12","0.7","0.11","0.8","0.2","","","","","","","","","0","","0.2","0","","","","","","","","","","","","","","","","","","","","","","","","","1099511",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 39 [20615]","BASALT [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","50.3","0.63","","3.52","","","","9.54","14.8","16.1","0.18","","0.15","0.42","0.01","","","","","","","","","","","","","","","","3.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","1710","","","68","390","","110","","","","","","3","108","9","28","2","","","","","","","","","","","","","26","3.3","8.4","1.33","7.1","2","0.59","2.2","0.4","2.1","0.4","1","0.15","0.9","0.12","0.9","0.2","","","","","","","","","0","","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","","","1099512",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 40 [20615]","ANDESITE, BASALTIC [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","52.9","0.56","","2.94","","","","7.51","14.5","17.4","0.16","","0.11","0.38","0.01","","","","","","","","","","","","","","","","3.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","850","","","53","380","","120","","","","","","3","59","8","24","2","","","","","","","","","","","","","10","3.2","8.6","1.33","6.5","1.7","0.56","1.9","0.3","1.7","0.3","0.9","0.12","0.7","0.1","0.7","0.2","","","","","","","","","0","","0.3","0","","","","","","","","","","","","","","","","","","","","","","","","","1099513",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 15 [20615]","ANDESITE, BASALTIC [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","53","0.82","","17.7","","","","8.12","12.4","4.76","0.18","","0.17","1.57","0.05","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296","420","","","66","270","","100","","","","","","7","104","15","37","2","","","","","","","","","","","","","33","2.2","6","0.92","4.8","1.7","0.66","2.2","0.5","3","0.6","1.9","0.29","1.9","0.27","1.3","0.2","","","","","","","","","0","","0.2","0","","","","","","","","","","","","","","","","","","","","","","","","","1099514",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 16 [20615]","BASALT [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","50","0.85","","17.2","","","","8.77","10.8","5.5","0.17","","0.16","2.78","0.05","","","","","","","","","","","","","","","","2.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","298","380","","","63","230","","90","","","","","","3","97","16","39","1","","","","","","","","","","","","","29","2.1","5.7","0.93","4.8","1.6","0.69","2.4","0.4","2.8","0.6","1.8","0.28","1.9","0.3","1.1","0.1","","","","","","","","","0","","0.2","0","","","","","","","","","","","","","","","","","","","","","","","","","1099515",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 17 [20615]","ANDESITE, BASALTIC [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","53","0.78","","16.7","","","","8.23","10.3","4.22","0.16","","0.15","3.17","0.04","","","","","","","","","","","","","","","","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277","390","","","63","180","","100","","","","","","3","82","16","35","2","","","","","","","","","","","","","29","2.1","5.7","0.9","4.9","1.7","0.65","2.2","0.4","3","0.6","1.9","0.29","2","0.29","1.1","0.2","","","","","","","","","0","","0.2","0","","","","","","","","","","","","","","","","","","","","","","","","","1099516",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 30 [20615]","BASALT [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","50.9","1.53","","12.6","","","","16.65","7.91","5.33","0.25","","0.38","2.11","0.11","","","","","","","","","","","","","","","","1.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","421","40","","","57","40","","150","","","","","","17","99","26","72","4","","","","","","","","","","","","","85","4.5","11.3","1.71","8.7","2.8","1.06","3.8","0.7","4.9","1","3","0.44","2.9","0.46","2.3","0.3","","","","","","","","","0","","0.6","0.5","","","","","","","","","","","","","","","","","","","","","","","","","1099517",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 31 [20615]","BASALT [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","50.2","1.16","","13.8","","","","13.41","10.1","5.99","0.21","","0.41","2","0.09","","","","","","","","","","","","","","","","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318","170","","","49","80","","110","","","","","","17","125","21","56","4","","","","","","","","","","","","","32","3.7","9.4","1.39","7.2","2.4","0.83","3.1","0.6","4","0.9","2.5","0.39","2.6","0.39","1.8","0.3","","","","","","","","","0","","0.5","0.2","","","","","","","","","","","","","","","","","","","","","","","","","1099518",
"[20615]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","TANZANIA CRATON_ARCHEAN / LAKE VICTORIA GREENSTONE BELTS / NZEGA GREENSTONE BELT","BUZWAGI GOLD MINE","-3.8611","-3.8611","32.6708","32.6708","SAE","","","s_BZ 32 [20615]","BASALT [20615]","","","NEO [20615]","ARCHEAN [20615]","","","","","VOL","","","","","WR [20615] ","49.5","0.68","","14.7","","","","10.8","11.7","7.67","0.18","","0.44","1.75","0.03","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244","330","","","51","190","","80","","","","","","30","104","14","30","2","","","","","","","","","","","","","29","1.7","4.5","0.72","3.8","1.4","0.56","2","0.4","2.4","0.5","1.6","0.25","1.6","0.25","0.9","0.1","","","","","","","","","0","","0.1","0","","","","","","","","","","","","","","","","","","","","","","","","","1099519",
