"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19973]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX","","48.5","48.5","114.5","114.5","SAE","","","s_ST07A [19973]","CHROMITITE [19973]","","","","","","","","","PLU","","","","","WR [19973] ","","","","","35.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3621","0.0884","0.3816","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1432","0.0507","0.1539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001374",
"[19973]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX","","48.5","48.5","114.5","114.5","SAE","","","s_ST10B4 [19973]","CHROMITITE [19973]","","","","","","","","","PLU","","","","","WR [19973] ","","","","","23.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2025","0.0413","0.0978","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1071","0.0353","0.0452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001375",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","0","0","37","","","","","","","","","","","","16","","90","4630","1370","","131","1170","53","88","3.99","1","0","0","","2.6","38.4","2.9","","0.2","0","","","","0","0","0","0","0","0","","0.1","24.7","0.9","1.7","0.27","1","0.3","0.13","0.39","0.07","0.52","0.11","0.36","0.05","0.4","0.06","0","0","0","","","","","","","0","0","0","0.2","0.09","","","","","","","","","","","","","","","","","","","","","","","","","1453110",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","56","","","","","","","","","","","","14","","1390","190000","1590","","163","912","79","477","33.9","1","6","17","","3.7","36.4","2.2","","0.6","0","","","","0","0","0","0","0.1","0","","0.1","12.5","0.7","1.5","0.19","0.9","0.2","0.12","0.3","0.06","0.39","0.09","0.26","0","0.3","0","0","0","0","","","","","","","0","0","0","0.1","0","","","","","","","","","","","","","","","","","","","","","","","","","1453111",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","0","0","47","","","","","","","","","","","","9","","69","5710","1550","","159","1760","10","87","2.3","1","0","0","","1.1","0","1","","0.1","0","","","","0","0","0","0","0","0","","0","5.9","0.4","0.8","0.09","0.4","0.1","0","0.13","0","0.2","0","0.12","0","0.1","0","0","0","0","","","","","","","0","0","0","0","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1453112",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","0","0","42","","","","","","","","","","","","10","","59","4240","1530","","143","1670","40","77","2.58","1","0","0","","0.9","4.7","1.2","","0.1","0","","","","0","0","0","1","0","0","","0","7.6","0.5","0.9","0.11","0.5","0.1","0.05","0.17","0","0.22","0","0.12","0","0.2","0","0","0","0","","","","","","","0","0","0","0.1","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1453113",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","","","","0","0","38","","","","","","","","","","","","17","","99","8780","1590","","139","1260","40","94","3.74","1","0","0","","1.1","20.1","2.5","","0.1","0","","","","0","0","0","0","0","0","","0","14.5","0.6","1.3","0.18","0.8","0.3","0.11","0.28","0.05","0.37","0.1","0.32","0.05","0.4","0.06","0","0","0","","","","","","","0","0","0","0.1","0","","","","","","","","","","","","","","","","","","","","","","","","","1453114",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","0","0","44","","","","","","","","","","","","16","","131","14300","1420","","146","1310","49","105","4.65","1","0","0","","1","17.1","2.7","","0","0","","","","0","0","0","0","0","0","","0","13.4","0.6","1.3","0.2","1","0.3","0.1","0.36","0.06","0.43","0.1","0.34","0","0.4","0.05","0","0","0","","","","","","","0","0","0","0.1","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1453115",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","","","","0","0","42","","","","","","","","","","","","16","","674","124000","1630","","155","986","51","317","22.6","1","0","10","","2.4","49.8","2.4","","0.3","0","","","","0","0","0","0","0","0","","0","18.5","0.6","1.3","0.19","0.7","0.2","0.1","0.29","0.05","0.44","0.09","0.3","0","0.3","0.06","0","0","0","","","","","","","0","0","0","0.1","0","","","","","","","","","","","","","","","","","","","","","","","","","1453116",
"[22620]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","WYOMING PROVINCE / BEARTOOTH MOUNTAINS / STILLWATER COMPLEX / STILLWATER PERIDOTITE ZONE","MOUNTAIN VIEW","45.38276","45.38276","-109.9017","-109.9017","SAE","","","s_MV88-1 [22620]","NOT GIVEN [22620]","","","","ARCHEAN [22620]","","","","","PLU","","","","","WR [22620] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","","","","","","","","","","","","","","","0","0","44","","","","","","","","","","","","10","","141","24800","1410","","158","1590","32","128","5.26","1","0","0","","1","23","1.8","","0","0","","","","0","0","0","0","0","0","","0","16.4","0.6","1.3","0.19","0.8","0.2","0.08","0.21","0","0.3","0.08","0.18","0","0.2","0","0","0","0","","","","","","","0","0","0","0","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1453117",
