"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2767","31.2767","112.3778","112.3778","SAE","","","s_ZX-8-1 [22200]","GRANITE, ALKALI FELDSPAR [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","74.54","0.46","","12.38","","2.92","0.34","","0.53","0.41","0.04","","3.13","3.06","0.05","","","","","","","","","","","","","","","","2.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.95","","7.34","2.59","","","3.08","2.28","6.3","64.7","20.3","","","","","70.6","75.5","33.2","565","21.1","","","","","","","","","","","","","670","68.3","148","16.3","61.5","10.4","1.32","9.33","1.28","6.96","1.35","3.71","0.49","3.16","0.5","14.6","0.84","","","","","","","","","12.7","","11","2.67","","","","","","","","","","","","","","","","","","","","","","","","","1355793",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2767","31.2767","112.3778","112.3778","SAE","","","s_ZX-8-2 [22200]","GRANITE, ALKALI FELDSPAR [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","75.03","0.44","","11.77","","2.68","0.31","","0.46","0.44","0.03","","3.66","2.99","0.06","","","","","","","","","","","","","","","","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.99","","6.47","2.34","","","2.41","2.14","3.38","40.5","17","","","","","84.7","89.6","34.9","517","26.6","","","","","","","","","","","","","908","45.7","105","11.4","46.2","8.72","1.09","8.1","1.22","7.41","1.47","4.33","0.66","4.38","0.68","12.9","1.35","","","","","","","","","7.03","","9.3","1.91","","","","","","","","","","","","","","","","","","","","","","","","","1355794",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2767","31.2767","112.3778","112.3778","SAE","","","s_ZX-8-3 [22200]","GRANITE, ALKALI FELDSPAR [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","72.69","0.47","","12.28","","3.86","0.59","","0.3","0.8","0.01","","2.98","2.75","0.06","","","","","","","","","","","","","","","","2.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.04","","17.6","2.47","","","5.48","5.14","25.6","35.8","22.8","","","","","122","82.6","26.2","476","26.2","","","","","","","","","","","","","783","45.1","42.6","9.65","37.5","7.12","0.97","6.44","0.95","5.71","1.12","3.14","0.46","3.16","0.51","11.8","1.48","","","","","","","","","15.3","","10.8","2.16","","","","","","","","","","","","","","","","","","","","","","","","","1355795",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2767","31.2767","112.3778","112.3778","SAE","","","s_ZX-8-4 [22200]","GRANITE, ALKALI FELDSPAR [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","74.45","0.4","","12.44","","2.35","0.52","","0.47","0.37","0.04","","3.78","2.87","0.05","","","","","","","","","","","","","","","","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.51","","6.57","2.56","","","2.76","2.32","6.16","52.9","19","","","","","82.5","71.6","29.8","468","17.7","","","","","","","","","","","","","770","67.1","134","15.7","58.7","10.2","1.34","8.82","1.21","6.52","1.19","3.26","0.43","2.71","0.42","11.8","0.79","","","","","","","","","12.6","","11.1","2.25","","","","","","","","","","","","","","","","","","","","","","","","","1355796",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2736","31.2736","112.3803","112.3803","SAE","","","s_ZX-3-1 [22200]","GRANITE [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","70.32","0.83","","15","","1.49","0.47","","0.4","1.12","0.02","","3.66","3.81","0.21","","","","","","","","","","","","","","","","2.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.01","","57.6","11.5","","","0.88","1.98","11.2","50.7","25","","","","","117","212","15.6","458","12.8","","","","","","","","","","","","","1351","68.9","164","20.3","71.8","10.9","2.24","7.63","0.9","4.06","0.68","2.04","0.29","1.86","0.26","11.7","0.98","","","","","","","","","15.4","","14.8","2.87","","","","","","","","","","","","","","","","","","","","","","","","","1355797",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2736","31.2736","112.3803","112.3803","SAE","","","s_ZX-3-2 [22200]","GRANITE [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","69.93","0.9","","15.09","","1.7","0.29","","0.35","1.11","0.02","","4.23","3.61","0.21","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6","","61","12.6","","","0.33","1.71","5.68","51.9","20.9","","","","","105","222","8.31","481","13.7","","","","","","","","","","","","","1960","51.2","122","14.7","61.5","8.38","1.88","4.84","0.59","2.6","0.42","1.19","0.18","1.22","0.19","12.7","0.96","","","","","","","","","33.2","","10.3","6.17","","","","","","","","","","","","","","","","","","","","","","","","","1355798",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2736","31.2736","112.3803","112.3803","SAE","","","s_ZX-3-3 [22200]","GRANITE [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","70.26","0.78","","14.71","","2.06","0.68","","0.16","0.66","0.01","","4.2","4.09","0.12","","","","","","","","","","","","","","","","1.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.67","","45.3","12.2","","","1.44","4.26","11.9","41.8","23.3","","","","","106","213","19.2","471","15","","","","","","","","","","","","","1779","96","149","21.7","82.1","13.2","2.7","9.01","1.08","4.93","0.81","2.36","0.34","2.13","0.32","12.2","1.37","","","","","","","","","14.6","","10.9","2.13","","","","","","","","","","","","","","","","","","","","","","","","","1355799",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUACHONG COMPLEX","NORTHERN HUACHONG VILLAGE","31.2736","31.2736","112.3803","112.3803","SAE","","","s_ZX-3-4 [22200]","GRANITE [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","69.56","0.96","","15.47","","1.91","0.2","","0.2","1.01","0.11","","4.43","3.76","0.12","","","","","","","","","","","","","","","","2.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","","60.9","13.1","","","2.56","2.23","14.8","42","26","","","","","138","268","21.3","474","17.7","","","","","","","","","","","","","1667","70.9","146","20.3","77.9","12.9","2.6","9.95","1.24","5.86","0.95","2.69","0.36","2.29","0.34","12.3","1.94","","","","","","","","","10.1","","17.4","1.96","","","","","","","","","","","","","","","","","","","","","","","","","1355800",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUASHANGUAN COMPLEX","WEST OF QINCHONG VILLAGE","31.3411","31.3411","112.2413","112.2413","SAE","","","s_ZX-7-1 [22200]","GRANITE [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","71.54","0.25","","15.64","","1.48","0.48","","1.41","0.5","0.02","","2.3","4.48","0.03","","","","","","","","","","","","","","","","2.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61","","17","7.6","","","7.23","4.61","6.25","51.7","20.3","","","","","80.3","418","7.43","109","7.4","","","","","","","","","","","","","351","27.9","46.6","6.3","24.6","4.02","0.59","3.01","0.35","1.66","0.27","0.68","0.09","0.52","0.08","3.18","0.38","","","","","","","","","29","","21.8","1.32","","","","","","","","","","","","","","","","","","","","","","","","","1355801",
"[22200]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","YANGTZE BLOCK / YANGTZE BLOCK_SOUTHERN SEGMENT / ZHONGXIANG TERRANE / HUASHANGUAN COMPLEX","WEST OF QINCHONG VILLAGE","31.3411","31.3411","112.2413","112.2413","SAE","","","s_ZX-7-2 [22200]","GRANITE [22200]","","","NEO [22200]","ARCHEAN [22200]","","","","","PLU","","","","","WR [22200] ","73.35","0.16","","14.61","","1.03","0.38","","0.26","0.44","0.01","","3.67","4.68","0.01","","","","","","","","","","","","","","","","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.05","","15","6.23","","","1.84","2.94","13.2","27.5","18.2","","","","","105","234","4.33","101","5.48","","","","","","","","","","","","","609","18","27.8","3.77","14.4","2.35","0.47","1.6","0.18","0.84","0.15","0.41","0.06","0.36","0.06","3.16","0.25","","","","","","","","","23.4","","7.95","0.82","","","","","","","","","","","","","","","","","","","","","","","","","1355802",
