Element;REE;HSE;VOLATILE(high);VOLATILE(Mod);VOLATILE
H;;;1;;
He;;;;;
Li;;;;1;
Be;;;;;
B ;;;;;1
C;;;1;;
N;;;1;;
O;;;;;
F;;;;;1
Ne;;;;;
Na;;;;;1
Mg;;;;;
Al;;;;;
Si;;;;;
P;;;;1;
S ;;;1;;
Cl;;;;;1
Ar;;;;;
K;;;;;1
Ca;;;;;
Sc;;;;;
Ti;;;1;;
V;;;;;
Cr;;;;;
Mn;;;;1;
Fe;;;;;
Co;;;;;
Ni;;;;;
Cu;;;;1;
Zn;;;1;;
Ga;;;;;1
Ge;;;;1;
As;;;;;1
Se;;;1;;
Br;;;;;
Kr;;;;;
Rb;;;;;1
Sr;;;;1;
Y;;;;;
Zr;;;;;
Nb;;;;;
Mo;;;;;
Tc;;;;;
Ru;;1;;;
Rh;;1;;;
Pd;;1;;;
Ag;;;;;1
Cd;;;1;;
In;;;1;;
Sn;;;;;1
Sb;;;;;1
Te;;;1;;
I ;;;;;
Xe;;;;;
Cs;;;;;1
Ba;;;;1;
La;1;;;;
Ce;1;;;;
Pr;1;;;;
Nd;1;;;;
Pm;1;;;;
Sm;1;;;;
Eu;1;;;;
Gd;1;;;;
Tb;1;;;;
Dy;1;;;;
Ho;1;;;;
Er;1;;;;
Tm;1;;;;
Yb;1;;;;
Lu;1;;;;
Hf;;;;;
Ta;;;;;
W;;;;;
Re;;1;;;
Os;;1;;;
Ir;;1;;;
Pt;;1;;;
Au;;1;;1;
Hg;;;1;;
Tl;;;;;
Pb;;;1;;
Bi;;;1;;
Ac;;;;;
Th;;;;1;
Pa;;;;;
U;;;;1;
