"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 12","","-9.379","-9.383","-164.269","-164.276","SAQ","-4004","-4440","s_SO225DR12-2 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","GL [21650] ","52.348236943404","0.351038003003384","","15.3767849944174","6.93727272727273E-02","","","8.34328869057974","13.1998532883858","9.04581413983992","0.149572817986202","","9.24080144182325E-02","1.48803400959506","0.037804800870204","0.141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.10382187132191","","","","","316.181818181818","","","","","474.718559103557","171.307167235495","","","43.5148322965936","2176.38405552888","215.011531097411","557.54962249075","","","48.0990306832557","141.918437012371","102.376256826216","","12.235374977635","","0.119352328776","","","3.64581086613552","59.5299093588157","11.7527190840889","15.2447090859513","5.71035830741248","0.18328252781857","","","","","","","","1.26432493848626E-02","","","3.35971911214726E-02","45.787270400542","3.36878270597085","6.60950357352186","0.777215021276733","3.25317948457156","0.852736611552374","0.339355649809134","1.25521045591125","0.240623529615932","1.82147258779149","0.410980847051997","1.31464409897049","0.197895600983347","1.46451989490502","0.222508036349151","0.401423062217485","0.310866553900623","6.53827175542023E-02","","","","","","","","0.264009763142819","","0.439232811113599","9.59564243879195E-02","0.512928356666667","","","0.703120358888889","","20.1508443242686","","15.6671438242317","","39.7336251545912","","","","","","","","","","","","","","","1264704",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 12","","-9.379","-9.383","-164.269","-164.276","SAQ","-4004","-4440","s_SO225DR12-3 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","GL [21650] ","52.2590177074844","0.436835646900819","","15.0410933277237","6.82181818181818E-02","","","8.58428463451971","12.8819299927204","9.1297598605867","0.141816816576002","","0.170807355385915","1.5257817734591","5.94324002120899E-02","0.251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.30694910228688","","","","","380.454545454546","","","","","545.511259358131","241.808873720137","","","43.8733735851771","2660.71489615252","217.880667666691","544.093029476009","","","47.477725938605","147.399704236579","99.5945192135792","","12.0207326749079","","0.177367246060852","","","6.89718038077591","85.077243921356","12.472416287657","21.6492151010316","11.0923780057291","0.287208833728939","","","","","","","","1.39489348154825E-02","","","7.02324110781508E-02","84.5711036055554","6.46735876564043","12.2807274312421","1.3916410665963","5.5542229165032","1.26919461333799","0.454008691438541","1.52892138754192","0.27945425088132","1.97664410802852","0.447647637211816","1.37973395534986","0.204381705175144","1.52986716439384","0.225459019683427","0.565971560236903","0.604519634306828","0.130513345250513","","","","","","","","0.446228638842649","","0.859256749289378","0.185821795724249","0.512895972307692","","","0.703219578888889","","20.2984390334664","","15.6758460595316","","39.9026954117574","","","","","","","","","","","","","","","1264705",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / SUVOROV TROUGH / DREDGE 24","","-10.652","-10.654","-163.876","-163.883","SAQ","-3014","-3601","s_SO225DR24-1 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","GL [21650] ","51.5714777193411","0.26855491178066","","15.6533985915293","0.0676","","","8.67539841294692","13.0232292352384","9.7942565132349","0.140830818398729","","1.85229212176393E-02","1.48331553911205","2.08223809566595E-02","0.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.19264200667765","","","","","156.181818181818","","","","","416.454529308238","131.863481228669","","","42.1358829551526","1615.91396612185","177.963979516188","596.420539327607","","","50.4939476738929","186.012660569941","97.0028600014323","","11.2852682072612","","7.66588912314018E-02","","","0.443853716078905","19.5147098521533","11.9615166483279","8.44273946169597","0.646934161607213","0.110545148150175","","","","","","","","9.73103536505038E-03","","","5.7916622552467E-03","4.97714027495578","0.457886916679065","1.09144814290765","0.164622665076631","0.907882449830555","0.474984080083655","0.217311740991235","0.969183941945289","0.214422048966028","1.73173598041492","0.422252704491567","1.3550246906299","0.206651070274122","1.56726980504087","0.234921718558705","0.259948685470589","3.78534611112974E-02","7.68709301957112E-03","","","","","","","","6.57322460972721E-02","","4.94666290890849E-02","1.35730702963799E-02","0.513077152307692","","","0.703645388888889","","18.9577917934097","","15.5595362824841","","38.7348544283772","","","","","","","","","","","","","","","1264706",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / SUVOROV TROUGH / DREDGE 24","","-10.652","-10.654","-163.876","-163.883","SAQ","-3014","-3601","s_SO225DR24-10 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","GL [21650] ","51.1307220384059","0.267536896673556","","15.4177035145429","","","","8.81517264831637","13.1056627088276","9.51118422723658","0.157402886151845","","2.05399274939871E-02","1.44118445415224","2.58298388473488E-02","0.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.49787704026048","","","","","131.384615384615","","","","","388.767328527233","126.210526315789","","","42.4534081440235","1668.29373342254","169.085861419503","586.650606170828","","","48.3091459208275","174.431190049366","84.6201102168063","","10.7607420881698","","4.81019252038381E-02","","","0.359972717424705","18.8742190434805","12.4183721920099","8.23554052877281","0.616741096807352","0.101307565355123","","","","","","","0.122","0.004","","","4.3110616097067E-03","4.39503478984747","0.444372142457312","1.03328841926576","0.163328765895551","0.918891894322367","0.465142203464728","0.214894062289479","0.956273846660295","0.220855119163478","1.749496099139","0.422313577671002","1.3841098783657","0.216167001609637","1.5827766145022","0.243730703852627","0.271282352743979","3.58467105213712E-02","9.24844957869364E-03","","","","","","","","0.047878113572198","","4.86745067111853E-02","1.19341350545778E-02","","","","","","","","","","","","","","","","","","","","","","","","","1264707",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / SUVOROV TROUGH / DREDGE 24","","-10.652","-10.654","-163.876","-163.883","SAQ","-3014","-3601","s_SO225DR24-10 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","WR [21650] ","48.72","0.25","","13.81","","","","8.77","11.69","11.83","0.15","","0.16","1.16","0.02","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","10.4191005060241","","","","","","","","","","","","","","38.3329503253012","1603.45563652329","159.810690481928","911.926287550201","","","54.050032248996","300.315249879518","82.5615461044177","","9.87544982329317","","","","","2.86187366425703","21.2963347389558","11.2372897590361","8.16983373493976","0.575023648192771","0.10608725060241","","","","","","","0.140233738955823","3.63808826104418E-02","","","0.111821207710843","5.00681175903614","0.465218269076305","0.98831875502008","0.16420059437751","0.937571325301205","0.504962048192771","0.230267252200482","0.943312777118994","0.212486020080321","1.69124602409639","0.411003935742972","1.27732787951807","0.212084060240964","1.44605052208835","0.236302140562249","0.274337590361446","0.044264520939759","5.11292915662651E-02","","","","","","","","0.145911421686747","","0.070845421686747","2.94867186706827E-02","","","","","","18.9761339779286","","15.5643297217718","","38.7488215980709","","","","","","","","","","","","","","","1264708",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 5","","-6.673","-6.676","-162.743","-162.748","SAQ","-5099","-5590","s_SO225DR5-1 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","WR [21650] ","49.36","0.44","","16.41","","","","9.37","8.37","5.68","0.08","","1.06","2.7","0.04","","","","","","","","","","","","","0","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1264710",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / HIGH PLATEAU / DREDGE 7","","-6.732","-6.737","-163.199","-163.204","SAQ","-5120","-5562","s_SO225DR7-1 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","WR [21650] ","50.63","0.36","","14.63","","","","8.82","12.75","9.05","0.16","","0.11","1.93","0.03","","","","","","","","","","","","","0.02","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1264711",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 12","","-9.379","-9.383","-164.269","-164.276","SAQ","-4004","-4440","s_SO225DR12-1 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","WR [21650] ","50.2","0.48","","15.15","","","","8.58","12.33","8.01","0.13","","0.4","1.73","0.06","","","","","","","","","","","","","0","","","1.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1264712",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 12","","-9.379","-9.383","-164.269","-164.276","SAQ","-4004","-4440","s_SO225DR12-4 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","WR [21650] ","48.61","0.46","","14.89","","","","6.84","11.51","9.25","0.09","","0.22","1.83","0.08","","","","","","","","","","","","","0","","","4.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1264713",
"[21650]","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 12","","-9.379","-9.383","-164.269","-164.276","SAQ","-4004","-4440","s_SO225DR12-5 [21650]","THOLEIITE [21650]","","","LOWER [21650]","CRETACEOUS [21650]","","","","","VOL","","","","","WR [21650] ","41.17","0.31","","12.87","","","","10.46","8.47","12.09","0.16","","1.04","1.69","0.18","","","","","","","","","","","","","0.01","","","8.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1264714",
