"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19957]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / LAKE CHAD BASIN","HADJER BIGLI","13","13","14","14","SAE","","","s_FB1 [19957]","RHYOLITE, PERALKALINE [19957]","","","UPPER [19957]","CRETACEOUS [19957]","","","","","VOL","","","","","WR [19957] ","75.31","0.18","","9.72","","","","5.8","0.27","0.03","0.08","","4.37","3.82","0","","","","","","","","","","","","","","","","1.31","","","","","","","","","","","","","","","15.5","","","","","","","","","","","","","","","0","0","","","0","0","0","538.9","48.8","","","","","247","4","244","2445","414.2","","","","","","","","","","","","0.51","9","393.5","599","94.3","330.4","62.74","5.64","49.1","7.5","42.25","7.95","22.44","3.3","21.3","3.058","61.97","28.4","","","","","","","","","57.3","","47","11.27","","","","","","","","","","","","","","","","","","","","","","","","","1000945",
"[19957]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / LAKE CHAD BASIN","HADJER BIGLI","13","13","14","14","SAE","","","s_FB3 [19957]","RHYOLITE, PERALKALINE [19957]","","","UPPER [19957]","CRETACEOUS [19957]","","","","","VOL","","","","","WR [19957] ","74.58","0.19","","9.51","","","","5.4","0.24","0.04","0.06","","4.47","3.28","0","","","","","","","","","","","","","","","","1.71","","","","","","","","","","","","","","","10.1","","","","","","","","","","","","","","","0","0","","","0","0","0","522.5","41.8","","","","","278","5","222.7","1926","314.3","","","","","","","","","","","","0.83","10","268.4","503","57.8","209.8","41.75","3.08","37.92","6.2","36.26","6.87","18.81","2.671","17.1","2.457","47.95","21.11","","","","","","","","","23.9","","43.9","12.42","","","","","","","","","","","","","","","","","","","","","","","","","1000946",
"[16381]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / NOUN PLAIN","","5","5","10","10","SAE","","","s_W214 [16381]","BASANITE [16381]","","","","CENOZOIC [16381]","","","","","VOL","","","","","WR [16381] ","43.46","2.58","","12.93","","","","12.83","10.24","11.78","0.17","","1.41","3.37","0.6","","","","","","","","","","","","","","","","0.18","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","25.5","","232","327","","","50","277","71","98","8","","","","","33","806","26","221","69","","","","","","","","","","","","","521","47.68","91.53","","41.84","8.45","2.59","6.8","","5.23","","2.23","","1.83","0.24","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","1001721",
"[16381]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / NOUN PLAIN","","5","5","10","10","SAE","","","s_W219 [16381]","BASANITE [16381]","","","","CENOZOIC [16381]","","","","","VOL","","","","","WR [16381] ","43.42","2.49","","12.6","","","","13.03","9.25","13.03","0.19","","1.52","3.65","0.6","","","","","","","","","","","","","","","","-0.43","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","22.6","","222","362","","","58","355","67","100","31","","","","","37","815","25","230","78","","","","","","","","","","","","","580","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","1001722",
"[16381]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / NOUN PLAIN","","5","5","10","10","SAE","","","s_W229 [16381]","BASANITE [16381]","","","","CENOZOIC [16381]","","","","","VOL","","","","","WR [16381] ","44.56","2.62","","15.16","","","","12.5","9.75","7.54","0.2","","1.82","4.69","0.64","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","2","","","","","","","","","","","","","23.1","","200","204","","","41","104","62","110","18","","","","","50","1159","31","324","104","","","","","","","","","","","","","779","86.52","157.77","","63.71","11.31","3.57","8.81","","6.65","","2.78","","2.46","0.35","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","1001723",
"[16381]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / NOUN PLAIN","","5","5","10","10","SAE","","","s_W231 [16381]","BASALT [16381]","","","","CENOZOIC [16381]","","","","","VOL","","","","","WR [16381] ","43.96","2.72","","14.35","","","","13.08","10.25","9.1","0.2","","1.47","3.95","0.6","","","","","","","","","","","","","","","","-0.55","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","25.9","","217","271","","","44","140","69","101","15","","","","","24","987","28","254","80","","","","","","","","","","","","","618","65.96","122.65","","53.2","9.9","3.21","7.96","","5.98","","2.5","","2.13","0.3","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","1001724",
"[20791]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / SOUTHERN CAMEROON LINE / MOUNT ETINDE","","4.203","4.203","9.17","9.17","SAE","","","s_C20 [20791]","NEPHELINITE [20791]","","","","","","","","","VOL","","","","","WR [20791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65","","","","","","","","","","","","","263","504","54.9","","","","","","","","","","4.3","","","","","","","","","","","","6.48","","","4.45","","","","","","","","","","","","","","","","","","","","","","","","","1128680",
"[20791]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / SOUTHERN CAMEROON LINE / MOUNT ETINDE","","4.203","4.203","9.17","9.17","SAE","","","s_C22 [20791]","NEPHELINITE [20791]","","","","","","","","","VOL","","","","","WR [20791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.12","","","","","","","","","","","","","223","448","49.8","","","","","","","","","","3.8","","","","","","","","","","","","8.14","","","5.83","","","","","","","","","","","","","","","","","","","","","","","","","1128681",
"[20791]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / SOUTHERN CAMEROON LINE / MOUNT CAMEROON","","4.203","4.203","9.17","9.17","SAE","","","s_C30 [20791]","BASANITE [20791]","","","","","","","","","VOL","","","","","WR [20791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.07","","","","","","","","","","","","","51.3","104","12.9","","","","","","","","","","1.7","","","","","","","","","","","","3","","","1.42","","","","","","","","","","","","","","","","","","","","","","","","","1128683",
"[20791]","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / SOUTHERN CAMEROON LINE / MOUNT ETINDE","","4.203","4.203","9.17","9.17","SAE","","","s_C128 [20791]","NEPHELINITE [20791]","","","","","","","","","VOL","","","","","WR [20791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17","","","","","","","","","","","","","226","425","46.3","","","","","","","","","","3.4","","","","","","","","","","","","9.18","","","4.47","","","","","","","","","","","","","","","","","","","","","","","","","1128686",
